FACETS,BASETERM_NAME,ENFOODNAME
A02PF,"Evaporated milk (liquid, unsweetened)",THICKENED MILK FOR COFFEE VEGETAL FAT-FACETS_DESC: FAT CONTENT: UNDEFINED$BRANDNAME/PRODUCTNAME: KNOWN
A00AD,Speculaas,BASTOGNE ANONYMOUS
A02PM,Cream powder,"THICKENED MILK FOR COFFEE, POWDERED N.S.-FACETS_DESC: FAT CONTENT: UNDEFINED$BRANDNAME/PRODUCTNAME: KNOWN"
A043Z,"Continental european brown cooked sauce, gravy",THIN BROWN SAUCE
A045F,Hollandaise type sauce,ANONYMOUS DRESSING LOW CALORIE
A03SS,Herbal formulations and plant extracts,Thousand of larch extract - teaspoon
A02DX,Tuna,THUNA COOKED
A025S,Blood-type sausage,THURINGIAN BLOOD SAUSAGE
A0ERG,Herbs/spices sauces,Thai sauce
A0BYS,Potato crisps from potato slices,THICK CRINKLE CRISPS EG REAL MC COYS
A026C,Frankfurter sausage,THICK FRANKFURTER
A01PR,"Fruit compote, mixed fruit",THICKENED FRUIT SYRUP DESSERT PASTEURISED FORTIFIED
A00FA,Cereal bars mixed,ANONYMOUS BREAKFAST BISCUITS FORTIFIED
A047X,Thickener,"BINDING AGENT, NESTARGEL, ANONYMOUS, ANONYMOUS, BIOBIN"
A006N,"Rusk, refined flour",TOAST SMALL CUPS
A03SN,Combination of vitamin and mineral only supplements,ANONYMOUS MULTIVITS & IRON (CAPSULE)
A02NG,"Yoghurt, cow milk, plain",TESCOS BIO VLF YOGURT
A005N,"Rye-wheat bread and rolls, refined flour",TESSINER ROLLS
A02SV,Firm/semi-hard cheese (gouda and edam type),ANONYMOUS-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: SLICE
A03TF,Textured soy protein,Textured soy protein
A005F,Rye only bread and rolls,"Black bread, ANONYMOUS"
A00AA,"Biscuits, sweet, wheat wholemeal","BISCUIT LIGHT ,ANONYMOUS LU"
A009Y,Butter biscuits,"BISCUIT, BASTOGNE, ANONYMOUS"
A009V,Biscuits,"BISCUITS, LIKE ANONYMOUS"
A041J,"Rice, meat, and vegetables meal",THAI GREEN CHICKEN CURRY RETAIL/TAKEAWAY
A01RG,Pig fresh meat,THAI PORK
A03PL,Tequila and similar spirits,Tequila
A044T,Teriyaki sauce,TERIYAKI SAUCE
A03VK,"Potatoes, meat, and vegetables meal",ANONYMOUS CHICKEN & VEG PIE MASHED POTATO TOPPING
A005Y,Crackers and breadsticks,"BISCUITS, SALTY ""ANONYMOUS"" BRAND"
A005K,Bread and rolls with special ingredients added,ANONYMOUS HEALTHY LIVING GARLIC BREAD
A024S,Teewurst-type sausage,Teewurst-type sausage
A02SN,Soft-ripened cheese with natural rind and other soft-ripened cheeses,"TENDER CHEESE, "" ANONYMOUS"" BRAND"
A026G,Bockwurst,"BOCKWURST, VOGT&WOLF, ANONYMOUS"
A0BZ7,"Stock cubes or granulate, meat","BOUILLON CUBE, FOR MEAT JUICE,INSTANT-POWDER ANONYMOUS"
A0CHT,Crisp bread,Toast small n.s.
A0BB2,Sandwich bread (hamburger roll-type),"TOAST, SANDWICHTOAST, ACTIVE ANONYMOUS"
A03LB,Tea beverages,"TEA, READY-TO-DRINK"
A03FF,"Soft drink, lemon flavour","Tea, ready-to-drink, ANONYMOUS, COOL ANONYMOUS ice tea lemon flavor"
A03LT,Rooibos infusion,"TEA, ROIBUSH"
A034R,Chocolate coated confectionery,ANONYMOUS or similar
A03LC,Fermented tea infusion,"TEA, UNSWEETENED"
A00BK,Yeast leavened pastry,TEACAKES
A00AN,Cakes,"TEACAKES, FRESH"
A006M,Rusk,TOASTED BREAD
A03HY,Tea extract (powder),"TEA, LEMON, INSTANT POWDER, WITH WATER"
A03LR,Maté infusion,"TEA, MATE"
A0EQR,Sweet bars and other formed sweet masses,ANONYMOUS LIGHT
A0BY0,Leavened bread and similar,"TOAST, ANONYMOUS, GOLDEN TOAST"
A02QZ,Cream cheese,ANONYMOUS - CUBE
A005S,"Gluten free bread, white","Bread Panini, gluten free, ANONYMOUS"
A035B,Toffee,Toffee candy
A03TT,Tofu,Tofu
A00EF,Processed wheat-based flakes,BREAKFAST CEREAL WHOLE GRAIN WHEAT ANONYMOUS
A005R,Gluten free bread,"Bread Landbrot, gluten free, ANONYMOUS"
A046J,Fudge sauce,TOFFEE SAUCE
A034S,Pralines,Toffifee
A03TY,Imitation cheese,TOFU CHEESE
A00HQ,Tomatoes and similar-,TOMATO
A00HR,Globe tomato,TOMATO
A03SX,"Formulations containing special fatty acids (e.g. Omega-3, essential fatty acids)","TOHTORI TOLOSEN HELOKKIÖLJY (EVENING PRIMROSE OIL), ML"
A0DMX,Tomatoes,Tomato
A03LP,Lime blossoms infusion,"Tea, herbal,liquid,lime tree,food production undefined"
A03LF,Tea infusion with added flavouring ingredients,"Tea, herbal, base n.s."
A16GQ,Peppermint infusion,"Tea, herbal, herbal based"
A03LD,"Non-fermented tea, infusion","Tea, herbal, base green tea"
A03LE,"Tea, decaffeinated, infusion","Tea, decaffeinated, infusion"
A039C,Butter,"BUTTER, ANONYMOUS KAERGARDEN"
A03KH,"Coffee drink, cappuccino","CAFE CAPPUCCINO ""ANONYMOUS BRAND"""
A00AR,Cheese cake,"CAKE, CHEESE CAKE, ANONYMOUS"
A00AY,Cream custard sponge cake,"CAKE, COMMERCIALLY PREPARED, SPONGE CAKE TYPE, ""ANONYMOUS PARADISO"""
A00AV,Cream cake,"CAKE, MILCH-SCHNITTE, ANONYMOUS FERRERO"
A00BA,Fruit cake,"CAKE, WITH RHUBARB AND STRAWBERRY, ANONYMOUS"
A00BL,Buns,"CAKE, YEAST PASTRIES, MINI-CHINOIS, ANONYMOUS"
A03LK,Fruit infusion,"TEA, FRUIT, POWDER, READY TO DRINK"
A035L,Jelly candies,CANDY TOTS ANONYMOUS TOOTY FROOTIES JELLY BEANS
A03KE,Instant coffee (beverage),"capuccino Classic, Nescafe, ANONYMOUS"
A03LH,Camomile infusion,"TEA, CAMOMILE"
A00DD,Processed maize-based flakes,"CEREALS, CORNFLAKES, LITTLE MAN, ANONYMOUS"
A04QY,Cereal flakes and similar,"CEREALS, COOKIE CRISP, ANONYMOUS"
A00EL,Mixed breakfast cereals,"cereals (choclate), line Fitness, ANONYMOUS"
A00EK,Muesli plain,"cereals (dark chocolate), line Fitness, ANONYMOUS"
A00DS,Processed rice-based flakes,CHEERIOS  ANONYMOUS
A00EB,Wheat rolled grains,"CEREALS, FITNESS, ANONYMOUS"
A024Z,Hungarian-type salami,Tea sausage
A00ZF,Tomato paste,TOMATO BROTH
A044P,Tomato ketchup and related sauces,TOMATO CHILI SAUCE
A041S,Mixed vegetables soup,TOMATO CREAM SOUP
A03CJ,"Juice, tomato",Tomato juice
A0CVB,Gazpacho and similar,"TOMATO AND CUCUMBER SOUP (GAZPACHO), ""ANONYMOUS"" BRAND"
A03HV,Tea leaves and stalks decaffeinated,Tea leaves and stalks decaffeinated
A031C,"Processed cheese, spreadable","Cheese spread ANONYMOUS, ANONYMOUS foods"
A00ZD,Tomato puree,Tomato passata
A00ZG,Sun-dried tomatoes,"TOMATO N.S., DRIED OR FLAKES, FLESH, COOKING METHOD NOT APPLICABLE"
A008B,"Pasta, gluten free","Tomato pasta, gluten free (ANONYMOUS, ANONYMOUS)"
A03LS,Lemon verbena infusion,"Tea beverage, lemon verbena infusion"
A00FC,Corn chips,ANONYMOUS CORN SNACKS ONLY
A00AE,"Biscuit with inclusions, filling or coating",Tarteletes
A03ZQ,Pizza and similar with processed meat topping,CHICKEN & BACON PANCAKES E.G.ANONYMOUS
A03VV,Meat based dishes,"CHICKEN STRIIPS, ANONYMOUS"
A009S,Suet pastry (pâte a grasse de boeuf) dough,"YORKSHIRE PUDDING, WHOLE MILK, EGG, PACKET MIX"
A02NQ,"Yoghurt drinks, including sweetened and/or flavoured variants","YOKIDRINK, MEAN (YOGHURT DRINK)"
A031S,Hen egg yolk,YOLK EGG
A0CSL,Bread pre-mixes (dry),YORKSHIRE PUDDING FROZEN
A02PY,Starchy pudding,YORKSHIRE PUDDING MADE WITH WHOLE MILK AND BEEF DRIPPING
A00CC,Pastry based on laminated dough,"YORKSHIRE PUDDING, MADE WITH WHOLE MILK"
A00BG,Chocolate cake,"TART, CHOCOLATE-CREAM, HOMEMADE, FAT USED UNKNOWN, NO MILK / LIQUID USED"
A03VD,Potato based dishes,"Taro, fried"
A00YP,Tarragon,"Tarragon,preservation method undefined,food/ingredient source undefined"
A00AT,Cheese cream sponge cake,Tarragon bundt cake
A011J,Tapioca starch,Tapioca starch
A00AQ,Sponge cake,"TART N.S., HOMEMADE, FAT USED KNOWN, WHOLE MILK, FAT USED KNOWN"
A02EM,Fish roe,Taramas (preserved fish roe)
A02NF,"Yoghurt, cow milk","YOGURT, FRUIT"
A010B,Taros,"Taro, uncooked"
A03DL,Tap water,Tap water
A0BYT,Potato crisps from dough,"CHIPS, ""ANONYMOUS"" BRAND"
A01CH,Tangerines,Tangerines
A034Q,Filled chocolate,"CHOC WITH HAZELNUTS (EG ANONYMOUS, ANONYMOUS)"
A03DS,Carbonated natural mineral water,TAP WATER CARBONATED
A01BR,"Olives, processed","TAPENADE OF OLIVES-FACETS_DESC: FOOD PRODUCTION: COMMERCIAL, FAT USED UNKNOWN$BRANDNAME/PRODUCTNAME: KNOWN"
A045J,Mixed and other not listed condiments,"TAPENADE OTHER FLAVOURS-FACETS_DESC: FOOD PRODUCTION: CATERING, FAT USED UNKNOWN"
A04QN,Condiments (including table-top formats),"TAPENADE OTHER FLAVOURS-FACETS_DESC: FOOD PRODUCTION: COMMERCIAL, FAT USED UNKNOWN$BRANDNAME/PRODUCTNAME: KNOWN"
A034F,Chocolate and chocolate products,CHOCOLATE (ANONYMOUS)
A034J,Milk chocolate,"Chocolate bar like ANONYMOUS,"
A0C6P,Chocolate spread,"CHOCOLATE CREAM, ANONYMOUS"
A01DF,Other Citrus fruits,Tangors
A045K,Salad dressing,YOGURT DRESSINGS PURCHASED
A02NK,"Yoghurt, sheep milk, plain",Yogurt from sheep's milk
A0EQS,Chocolate/cocoa-based products,"CHOCOLATE WITH CAKE, ANONYMOUS"
A019J,Tamarind,Tamarind
A0EQD,Chocolate and similar,"Chocolate, like ANONYMOUS"
A01SP,Chicken fresh meat,TANDOORI CHICKEN WITH BONES (NOT WEIGHED) NO RICE
A01NP,Canned or jarred mandarin,TANGARIN-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: FLESH$COOKING METHOD (FATTIEST): COOKING METHOD NOT APPLICABLE$PRESERVATION METHOD: CANNED$MEDIUM: UNDEFINED
A01CD,Mandarins,"TANGERINE,RAW,EDIBLE PART"
A01BM,Sesame paste (tahini) (sesamus indicum),Tahini
A16FV,Flat bread-based pastry,Tahini pie
A036K,Sorbet,"CITRON SORBET, MOEVENPICK, ANONYMOUS"
A005H,"Rye bread and rolls, wholemeal",Classic whole grain rye bread ('ANONYMOUS')
A03HH,"Cocoa beverage-preparation, powder","Cocoa mix, ANONYMOUS, Rich Chocolate Hot Cocoa Mix"
A01BQ,Table olives ready for consumption,"Table olives ready for consumption, black"
A033Z,Syrups,TABLE SYRYP
A01DX,Table grapes,Table-grapes
A00FD,Tortilla chips,TACO SHELL
A006V,Tortilla,TACO SHELLS
A040T,"Pasta, cooked, with vegetables and cheese/cream",TAGLIATELLE ALLA PARMIGIANA MADE UP ANONYMOUS
A01HH,Table olives and similar-,Table olives and similar-
A0CSM,Cake pre-mixes (dry),"CONVENIENCE BLEND, MUFFIN, APPLE-CINNAMON, ANONYMOUS"
A02NE,Yoghurt,"YOGHURT, SMALL"
A044Q,Tabasco sauce,ANONYMOUS sauce
A033Y,Sugar cane molasses,"Syrup, syrupy, candy"
A034D,Sugar beet syrup,"Syrup/caramel, water and sugar"
A046H,Chocolate sauce,Syrups
A023K,Cooked pork ham,"COOCKED HAM, BOILED HAM, ""ANONYMOUS"" BRAND"
A007P,Dried durum pasta,cooked wholegrain pasta (ANONYMOUS Integrale Pennette Rigate)
A009X,"Biscuits, sweet, plain",Cookies
A03GE,Liquid drink bases (including concentrates and home-made preparations),"SYRUP, RASPBERRY"
A036Y,"Maize oil, edible","COOKING OIL, AVERAGE"
A039D,Traditional margarine,COOKING FAT
A039F,Butter and margarine/oil blends,COOKING FAT N.S. - UNDEFINED
A039G,Shortening and similar baking fats,COOKING FAT N.S.-FACETS_DESC: TYPE OF PACKING: UNDEFINED$BRANDNAME/PRODUCTNAME: UNDEFINED
A00XF,Coriander leaves,"CORIANDER (CILANTRO) LEAVES,RAW"
A00AB,"Biscuits, oat meal","COOKY OAT MEAL NORMAL-FACETS_DESC: FOOD PRODUCTION: COMMERCIAL, FAT USED UNKNOWN$BRANDNAME/PRODUCTNAME: KNOWN"
A022S,Cured seasoned pork meat,Coppa (di Parma)
A018D,Coriander seed,Coriander seed
A03EA,"Soft drink, with fruit juice (fruit content below the minimum for nectars)","SYRUP LEMONADE, FRUIT DILUTED"
A034E,Treacle,Syrup treacle
A00KP,Sweet corn,Corn / Maize
A00ZP,Sweet corn canned,Corn
A00BB,Sponge cake roll,"Swiss roll, industry-made"
A04NX,Other processed cheese,SWISS SPRINKLE(?)CHEESE-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: SPREAD
A00FH,Mixed cereal-based snacks,CORN AND WHEAT CRISPS HAMKA'S-FACETS_DESC: FAT CONTENT: UNDEFINED$BRANDNAME/PRODUCTNAME: KNOWN
A07Y0,Swordfish,Swordfish (Xiphias gladius)
A03DZ,Soft drinks,Syrup (diluted)
A006Z,Additional bread products,corn flat cake
A002Q,Maize flour,CORN FLOUR
A0DJR,Swiss chards,Swiss chard
A0EQQ,Candies (soft and hard),"Sweets, candy with herbs"
A035K,Gum drops,"SWEETS SOFT, NO ACID"
A046M,"Artificial sweeteners (e.g., aspartam, saccharine)","SWEETENER, BASED ON SACCHARIN-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: TABLET$BRANDNAME/PRODUCTNAME: KNOWN"
A046N,Saccharine,"SWEETENER, BASED ON SACCHARIN-FACETS_DESC: PHYSICAL STATE/FORM AS QUANTIFIED: TABLET$BRANDNAME/PRODUCTNAME: UNDEFINED"
A035A,"Caramel, soft","Sweets, Toffee/Caramel, without chocolate"
A02PG,Condensed milk (sometimes with added sugars),SWEETENED CONDENSED MILK
A002P,Maize meal,CORN MEAL
A036X,"Soya bean oil, refined",CORN OIL
A04PE,Confectionery including chocolate,SWEETS DIFFERENT KINDS CHOCOLATE EXCLUDED
A00EP,Corn semolina based thick soup,Corn semolina based thick soup
A0F7R,Table-top sweeteners formulations,"SWEETENER, LIGHTSUESS, SPINNRAD"
A002N,Maize semolina,"CORN, GRITS"
A023D,"Corned beef, uncooked",Corned beef
A03VJ,Potatoes and meat meal,CORNED BEEF HASH
A03CK,"Juice, carrot",SWEETENED DRINK WITH FRUIT AND VEGETABLES - FORTIFIED OR ENRICHED
A04PA,Sugar and other sweetening ingredients (excluding intensive sweeteners),Sweetener n.s.
A024C,Canned meat,"CORNED BEEF, CANNED"
A02QA,"Ice cream, milk-based",CORNETTO CLASSICO
A00EE,"Wheat, popped",CORNFLAKES N.S.-FACETS_DESC: FLAVOURED/ADDED COMPONENT: HONEY$FLAVOURED/ADDED COMPONENT: PLAIN$ENRICHED/FORTIFIED: NOT ENRICHED/FORTIFIED$BRANDNAME/PRODUCTNAME: KNOWN
A010C,Sweet potatoes,Sweet potatoes
A01ZM,"Bovine edible offal, non-muscle, other than liver and kidney","SWEETBREAD,THYMUS"
A02QG,Cottage cheese,Cottage cheese
A002R,Maize starch,Cornstarch / Cornflour / Maize starch
A00LA,Cutting lettuces,COS LETTUCE FRESH
A00LC,Romaines,"COS LETTUCE, RAW"
A00JA,Sweet peppers,"Sweet peppers, raw"
A00JR,Courgettes,Courgette
A00KH,Pumpkins,"Courgette (brit) Yellow, raw"
A043V,Savoury sauces,SWEET PEPPER CREAM SAUCE
A019L,Paprika powder,SWEET PEPPER POWDER
A0ETQ,Canned/jarred vegetables,"SWEET PEPPER, TINNED AND DRAINED"
A008C,Couscous,COUSCOUS
A0CRN,Cheese curd,Cow cheese curd
A01QX,"Cow, ox or bull fresh meat",Cow for grilling
A02PT,Dairy dessert and similar,SWEET DISHES OF MILK (0)
A02LV,Cow milk,Cow milk
A01XG,Beef liver,"Cow liver, raw"
A02LY,"Cow milk, whole",COW MILK MIN. 3.5 % FAT
A02PK,"Milk powder, full fat","Cow milk powder, full fat"
A02PL,"Milk powder, skimmed","Cow milk powder, skimmed"
A02MA,"Cow milk, skimmed (low fat)",COW MILK SKIMMED BOILED
A02LZ,"Cow milk, semi skimmed (half fat)","Cow milk, semi-skimmed"
A02LX,"Cow milk, natural high fat","Cow milk, ANONYMOUS high fat"
A01NV,Canned or jarred sweet cherry,SWEET CHERRY CANNED
A000T,Maize grain,Sweet corn
A00AP,Plain cakes,Sweet bread
A008M,Fine yeast sweet dough (brioche),"Sweet bun, braided"
A0EZD,Sauces from fermented/hydrolised sources and similar,SWEET AND SOUR SAUCE
A16EY,Sweet and sour sauce,Sweet and sour sauce
A02KE,Fish paste or surimi,Crab stick
A02NN,"Yoghurt, goat milk, plain","Yoghurt, goats"
A01PD,Compote of fruit / vegetables,COWBERRY COMPOTE
A01MT,"Jam, lingonberry",COWBERRY JAM
A03XX,Vegetable based dishes,SWEET AND SOUR VEGETABLES
A041G,Rice and vegetables meal,SWEET AND SOUR VEGETABLES WITH RICE PURCHASED
A02FL,"Crabs, sea-spiders",Crab
A00ZC,"Preserved tomato, whole or pieces",TOMATO RED TINNED
A045R,Tomato chutney,Tomato relish
A00RD,Swedes,"SWEDE, RAW"
A0FCP,Edible crab,"CRAB, BOILED"
A006D,Wheat crisp bread,SWEDISH BREAD N.S.
A00CB,Marzipan pie,SWEDISH PUNCH (OR ARRAK) ROLL
A045Q,Chutneys,SWEET AND SOUR SAUCE
A006E,"Crisp bread, wheat, wholemeal",CRACKER WHEAT/SESAM ANONYMOUS
A0EYV,Structured/textured fish meat products or fish paste,CRABSTICKS
A006F,"Crisp bread, wheat, refined flour","CRACOTTES, CRISP SWEDISCH BREAD"
A006B,"Crisp bread, rye wholemeal",CRACKER CRUSTY WHOLE MEAL-FACETS_DESC: BRANDNAME/PRODUCTNAME: KNOWN
A01FH,Cranberries,Cranberries
A00FG,"Sticks, salty",Crackers
A01MX,"Jam, cranberries",Cranberry jam
A039T,"Juice, cranberry","Cranberry juice (type 'ANONYMOUS', 'ANONYMOUS', 'ANONYMOUS')"
A03BV,"Juice concentrate, cranberry",CRANBERRY JUICE JUICE DRINK  AVERAGE OF 4 BRANDS
A02FG,Freshwater crayfishes,Crawfish tail in brine
A03EV,"Fruit soft drink, mixed fruit",CRANBERRY & BLACKCURRANT JUICE DRINK
A01PP,"Fruit compote, cranberry",CRANBERRY COMPOTE (4)
A03XR,Fish and rice meal,SUSHI ROLL WITH CRABSTICK AND CUCUMBER
A03XJ,Fish and seafood based dishes,"SUSHI, FROZEN, COOKING METHOD NOT APPLICABLE"
A03NV,Herb liqueur,SUZE
A03SJ,Food supplements and similar preparations,Supplement n.s.
A03QG,"Infant formula, soya-based, liquid","SUPPLEMENTARY PREPARATION FOR INFANT, READY-TO-FEED"
A02ML,"Cream, plain",Cream
A044A,Cream sauce,CREAM & PARMESAN SAUCE
A02AD,Mullets,Surmullet
A03MP,Low-malt beers,ANONYMOUS PREMIUM-NON ALCOHOLIC ENERGY MALT DRINK
A015L,Sunflower seeds,Sunflower seeds
A034L,Cream chocolate,CREAM CHOCOLATE (ANONYMOUS)
A037D,"Sunflower seed oil, edible",Sunflower oil
A045M,Salsa,TOMATO SAUCE ITALIAN STYLE
A00JS,Summer squashes,Summer squashes
A007E,"Pasta, plain (not stuffed), uncooked","Sumplings that are stirred into a clear soup (eggs, flour, salt)"
A037B,"Safflower seed oil, edible",SUNFLOWER SEED OIL
A03DH,Multivitamin juices,"Sugary drink, fruit flavoured"
A032J,White sugar,"SUGAR, WHITE"
A032M,Brown sugar,"Sugar, yellow"
A032R,"Sugar, icing - powder","Sugar, powder, icing sugar"
A010T,Sugar beet roots,SUGARBEETFLAKES
A00DC,"Popcorn (maize, popped)",SUGARED POPCORN
A00QA,Podded pea (young pods),Sugar-snap peas / Snow peas / Mangetouts
A00PX,Peas (with pods) and similar-,"SUGAR-SNAP PEAS, BOILED IN SALTED WATER"
A032P,Brown cane sugar,"Sugar, moscovado"
A032L,Refined cane sugar,"Sugar, white, cane"
A032G,Sugars (mono- and di-saccharides),Sugar n.s.
A0F7T,Table-top sweeteners in liquid form,"SUGAR SUBSTITUTES N.S., LIQUID, BRAND KNOWN"
A032H,Sucrose (common sugar),SUGAR  OWN LABEL SOUTH
A035X,Fondant mass,"Sugar icing/frosting, fondant"
A032K,Refined beet sugar,SUGAR SOFT WHITE
A035G,Sugar cotton,Sugar cotton
A02QC,Frozen yoghurt,Yoghurt ice cream
A16GH,Strained yoghurt,YOGHURT GRIEKSE
A011L,Potato crisps or sticks,CRINKLE CRISPS EG SMITHS ANONYMOUS RUFFLES
A0F4Q,Extruded breakfast cereal products,CRUESLI GEMIDDELD ANONYMOUS
A006P,"Rusk, wholemeal","crunchy wholegrain croutons madde of spelt and rye, ANONYMOUS"
A02PX,Custard,ANONYMOUS DANY SAHNE
A032V,Glucose,"DEXTROSE, DEXTRO ENERGY MINIS, ANONYMOUS"
A02MP,Flavoured milks,DORA DRINK ANONYMOUS
A03MD,"Beer, strong",STRONG BEER VOL. % 5.6
A003Z,Graham flour,STRONG BREAD FLOUR WITH COOKING LOSSES
A03DF,Fruit smoothies,strong fruit shake
A008Z,Fine dough without yeast,Strudel dough
A024R,Mettwurst-type sausage,STREICHMETTWURST
A00BV,Shortcrust (pies -tarts),"STREUSELSCHNECKE, HOMEMADE N.S., NO MILK / LIQUID USED"
A03TR,Imitation cream,"SUBSTITUTE FOR CREAM, ANONYMOUS Z. SCHLAGEN, BESTF"
A037X,Beef tallow (including processed suet),"SUET, SHREDDED"
A01EA,Strawberries,"Strawberry,preservation method undefined,bought,ambient department"
A01NH,"Jam, mixed fruit",STRAWBERRY-BANANA JAM
A041N,Tomato soup,TOMATO SOAP
A009N,Strudel dough,Strudel dough
A00CF,Apple strudel,"Strudel, chottage cheese and apples"
A01BP,Table olives,Stuffed olives
A00HS,Beefsteak tomato,"Tomato, beef"
A00BC,Muffins,STRAWBERRY MUFFIN
A00BZ,Fruit pie-tarts,STRAWBERRY PIE-TART
A03ZT,"Pizza and similar with cheese, and vegetables","TOMATO, CHEESE AND OLIVES PIZZA"
A046G,Fruit sauce,STRAWBERRY FRUIT SAUCE
A036J,Water-based ice creams,STRAWBERRY ICE CREAM
A01MN,"Jam, strawberries",STRAWBERRY JAM LESS SUGAR ADDED
A04PN,Other fruit juices,STRAWBERRY JUICE
A00HY,Cherry tomatoes,"Tomato, cherry"
A01DZ,Strawberries and similar-,STRAWBERRIES (ANONYMOUS)
A03TC,Mixed supplements/formulations,ANONYMOUS FORCE ANONYMOUS ECHINA FORCE + VIT C
A03GA,Energy drinks,"ENERGETIC DRINK, ANONYMOUS"
A0BZF,Cereals with an added high protein food reconstituted,Farin Lacte ANONYMOUS with ANONYMOUS RTE
A0C69,Fermented milk products,YOGHURT BULGARIAN
A02KC,"Fish fingers, breaded","FISH FINGER, ESKIMO, ANONYMOUS"
A00CL,Pancakes,ANONYMOUS SAVOURY CHEESE PANCAKES
A03QL,"Follow-on formula, milk-based, powder","FOLLOW ON FORMULA, ANONYMOUS 3, PROBIOTIC, POWDER, ANONYMOUS"
A02PA,Filmjölk,YMER
A03QR,"Follow-on formula, milk-based, liquid","Follow-on formula, ANONYMOUS Grown , ANONYMOUS, reconstituted"
A03RJ,Ready-to-eat fruit-based meal for children,"Fruit dessert, baby food, ANONYMOUS"
A043P,Yeast extract,"Yeast, extracted/Marmite"
A048Z,Yeast cultures,"YEAST, FRESH"
A049A,Baking yeast,"YEAST, FRESH"
A0BYV,French fries from cut potato,FRENCH FRIES EG ANONYMOUS
A0FDF,Tzatziki,"FRESH CHEESE, TSATZIKI, MILSA, ANONYMOUS"
A03TL,Oats drink,FRUIT BEVERAGE WITH OATS ANONYMOUS HAVREDRYCK
A03ML,Stout beer,Stout beer
A00BT,Brioche type products,YEAST PLAIT FROM YEAST DOUGH LOW FAT
A043R,Gravy thickener,"GRAVY THICKENER, LIGHT, ANONYMOUS"
A026E,Cooked bratwurst-type sausage,"GRILLED SAUSAGE, NUERNBERGER, ANONYMOUS"
A008L,Yeast leavened sweet doughs,"Yeast pastry dough, unbaked"
A043J,"Stock cubes or granulate, vegetables","Stock extract, vegetables"
