ENFOODNAME,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
"Live animal of the taxonomic species Sesarma sulcatum, within the family Grapsidae. The organisms are commonly known as Hairy matchbox crab or Anglette poilue or Abuete cajeta peluda. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Sesarma sulcatum£https://en.wikipedia.org/wiki/Sesarma",A0ZZF#F02.A0EJQ,Hairy matchbox crab (as animal),Sesarma sulcatum,Anglette poilue$Abuete cajeta peluda
Sausages just mixed and prepared without any processing for preservation,A06AT,Fresh raw sausages (as part-nature),,
"The group includes any type of Simple cereals which have to be reconstituted with milk or other appropriate nutritious liquids, after the addition of the liquid, i.e. ready for consumption. Whether it has been reconstituted with milk or another liquid should be specified with facet descriptors.",A0BZE#F02.A06FK$F04.A0EZF$F28.A07MR$F33.A0C28,"Simple cereals for infants or children, reconstituted",,
"The group includes any type of Juice concentrate made from sweet cherry. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Juice£https://www.google.co.uk/search?tbm=isch&q=Juice concentrate, sweet cherry",A03CF#F02.A068S$F27.A01GK$F28.A07KF$F28.A07LN$F33.A0C1X,"Juice concentrate, sweet cherry",,
"Live animal of the taxonomic species Dichelopandalus bonnieri, within the family Pandalidae. The organisms are commonly known as Whip shrimp or Crevette fouet or Camarón latiguillo or Whip Shrimp. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Dichelopandalus bonnieri£https://en.wikipedia.org/wiki/Pandalidae",A0AJG#F02.A0EJQ,Whip shrimp (as animal),Dichelopandalus bonnieri,Crevette fouet$Camarón latiguillo$Whip Shrimp
Live animals of the taxonomic species Hypargos niveoguttatus. The animals are commonly known as Red-throated Twinspot or Peters's Twinspot. The part considered is by default the whole living organism.£https://worldbirdnames.org/master_ioc_list_v14.1.xlsx£https://www.iucnredlist.org/species/22719411/94626459£https://en.wikipedia.org/wiki/Red-throated_Twinspot,A1ALP#F02.A0EJX,Red-throated Twinspot (as animal),Hypargos niveoguttatus,Peters's Twinspot
"Live plant organism of the taxonomic group Ligusticum sinense Oliv., Ligusticum chuanxiong Qui, Zeng, Pan, Tang & Xu. The group is relevant for the list of Botanicals. The plant is a member of the family Apiaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Ligusticum",A150V#F02.A0BA0,Ligusticum sinense Oliv. (as plant),"Ligusticum sinense Oliv.$Ligusticum chuanxiong Qui, Zeng, Pan, Tang & Xu",
"Live animal of the taxonomic genus Labrisomus spp., within the Family Labrisomidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Labrisomus£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Labrisomus",A0VPX#F02.A0EJV,Labrisomus (generic) (as animal),Labrisomus spp.,
Live plant organism of the taxonomic group Nasturtium officinale R.Br. The group is relevant for the list of Botanicals. The plant is a member of the family Brassicaceae. The plant is commonly known as Watercress. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Nasturtium_officinale,A05GA#F02.A0EKL,Watercress (as plant),Nasturtium officinale R.Br.,
"Live plant organism of the taxonomic group Ceratocephala testiculata (Crantz) Besser, Ranunculus testiculatus Crantz. The group is relevant for the list of Botanicals. The plant is a member of the family Ranunculaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Ceratocephala_testiculata",A141F#F02.A0BA0,Ceratocephala testiculata (Crantz) Besser (as plant),Ceratocephala testiculata (Crantz) Besser$Ranunculus testiculatus Crantz,
"Live animal of the taxonomic species Capropygia unistriata, within the Family Ostraciidae. The organisms are commonly known as Black-banded pigmy boxfish. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Capropygia-unistriata.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Capropygia unistriata",A0Y3Z#F02.A0EJV,Black-banded pigmy boxfish (as animal),Capropygia unistriata,
Live microorganisms of the taxonomic species Streptomyces murinus (Family = Streptomycetaceae) (Order = Actinomycetales).£https://en.wikipedia.org/wiki/Streptomyces_murinus,A16JP#F02.A06CK,Streptomyces murinus (as organism),Streptomyces murinus,
Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008),A0C52,FA-04. Fruit and vegetables,,
Live plant organism of the taxonomic group Acacia concinna (Willd.) DC. The group is relevant for the list of Botanicals. The plant is a member of the family Fabaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Acacia_concinna,A13ES#F02.A0BA0,Acacia concinna (Willd.) DC. (as plant),Acacia concinna (Willd.) DC.,
"The group includes any type of powdered infant formulae. The part consumed/analysed is by default the whole marketed unit or a homogeneous representative portion.£https://en.wikipedia.org/wiki/Infant_formula£https://www.google.co.uk/search?tbm=isch&q=Infant formulae, powder",A03PZ#F02.A06FH$F03.A06JD$F23.A07TF$F28.A07KG$F33.A0C2A,"Infant formulae, powder",,
Live animals of the taxonomic species Carduelis citrinella. The animals are commonly known as Citril Finch or Alpine Citril Finch. The part considered is by default the whole living organism. £https://worldbirdnames.org/master_ioc_list_v14.1.xlsx£https://en.wikipedia.org/wiki/Citril_finch£https://www.iucnredlist.org/species/22720062/111124877,A184Q#F02.A0EJX,Citril Finch (as animal),Carduelis citrinella$Serinus citrinella,Alpine Citril Finch
Live plant organism of the taxonomic group Pithecellobium dulce. The plant is a member of the family Fabaceae. The plant is commonly known as Madras thorn or Manila tamarind. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Pithecellobium_dulce£https://www.worldfloraonline.org/taxon/wfo-0000178252;jsessionid=6918C3225FB6506E540CCF4110BEAA94,A199J#F02.A0BA0,Madras thorn (as plant),Pithecellobium dulce ,Manila tamarind 
"Live animal of the taxonomic species Polypterus endlicheri, within the Family Polypteridae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Polypterus-endlicheri.html£http://www.marinespecies.org/aphia.php?p=taxdetails&id=270479",A0GMB#F02.A0EJV,Polypterus endlicheri (as animal),Polypterus endlicheri,
"Live animal of the taxonomic species Protothaca granulata Gmelin, within the Family Veneridae. The organisms are commonly known as Beaded venus clam. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=582806£https://en.wikipedia.org/wiki/Protothaca",A0APX#F02.A0EJR,Beaded venus clam (as animal),Protothaca granulata Gmelin,
"Live plant organism of the taxoconomic group Pongamia pinnata (L.) Pierre,Millettia pinnata (L.) Panigrahi, Pongamia glabra Vent. The group is relevant for the list of Botanicals. The plant is a member of the family Fabaceae (Leguminosae). The part considered is by default the whole living organism.£http://www.worldfloraonline.org/taxon/wfo-0000201168",A17CQ#F02.A0BA0,Pongamia pinnata (L.) Pierre (as plant),Pongamia pinnata (L.) Pierre$Millettia pinnata (L.) Panigrahi$Pongamia glabra Vent.,
The group includes any type of bread and rolls made with refined wheat flour (i.e. containing very little or no bran) with addition or minor amounts of potato. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Potato_bread£https://www.google.co.uk/search?tbm=isch&q=potato and wheat flour bread,A005A#F02.A06CN$F04.A00ZT$F04.A001M$F10.A07XK$F33.A0C3T,"Wheat bread and rolls, white with potato",,
"Live animal of the taxonomic genus Pterygioteuthis spp., within the Family Enoploteuthidae. The organisms are commonly known as Fire Squid. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=138422£https://en.wikipedia.org/wiki/Pterygioteuthis",A0B4Z#F02.A0EJR,Pterygioteuthis (generic) (as animal),Pterygioteuthis spp.,Fire Squid
"Stalks/canes/trunk sap used as source of sugar from the plant classified under the species Agave tequilana W., commonly known as Blue Agave heart or blue agave piña. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Agave_tequilana£https://www.google.co.uk/search?tbm=isch&q=Blue Agave heart",A0BB7#F01.A0BB4$F02.A0ELH$F27.A0BB7$F33.A0C51,Blue Agave heart,Agave tequilana W.,blue agave piña
"Live animal of the taxonomic genus Poeciliopsis spp., within the Family Poeciliidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Poeciliopsis£http://www.marinespecies.org/aphia.php?p=taxdetails&id=270464",A0NJN#F02.A0EJV,Poeciliopsis (generic) (as animal),Poeciliopsis spp.,
"Live animal of the taxonomic genus Lucina spp., within the Family Lucinidae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=147468£https://en.wikipedia.org/wiki/Lucina_(bivalve)",A11ST#F02.A0EJR,Lucina (generic) (as animal),Lucina spp.,
Live animals of the taxonomic family Scolopacidae. The animals are commonly known as Sandpipers and Snipes. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Sandpiper,A188G#F02.A0EJX,Sandpipers and Snipes (as animal),Scolopacidae (family),
"Live animal of the taxonomic genus Caesioscorpis spp., within the Family Serranidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Caesioscorpis£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Caesioscorpis",A0PHC#F02.A0EJV,Caesioscorpis (generic) (as animal),Caesioscorpis spp.,
"Live animal of the taxonomic species Congothrissa gossei, within the Family Clupeidae. The organisms are commonly known as Smoothbelly pellonuline. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Congothrissa-gossei.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Congothrissa",A0GXA#F02.A0EJV,Smoothbelly pellonuline (as animal),Congothrissa gossei,
"Live animal of the taxonomic species Apogonichthyoides nigripinnis, within the Family Apogonidae. The organisms are commonly known as Bullseye. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Apogonichthyoides-nigripinnis.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Apogonichthyoides nigripinnis",A0Q1M#F02.A0EJV,Bullseye (as animal),Apogonichthyoides nigripinnis,
Live plant organism of the taxonomic group Fritillaria imperialis L. The group is relevant for the list of Botanicals. The plant is a member of the family Liliaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Fritillaria_imperialis,A14MF#F02.A0BA0,Fritillaria imperialis L. (as plant),Fritillaria imperialis L.,
"Live animal of the taxonomic species Hyalopecten pudicus Smith E.A, within the Family Pectinidae. The organisms are commonly known as Wavy Scallop. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=181304£https://en.wikipedia.org/wiki/Hyalopecten",A0B2A#F02.A0EJR,Wavy Scallop (as animal),Hyalopecten pudicus Smith E.A,
"Stalks/canes/trunk sap used as source of sugar from the plant classified under the species Betula papyrifera Marshall, commonly known as Birches (trunk sap). The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Betula_papyrifera£https://www.google.co.uk/search?tbm=isch&q=Birches (trunk sap)",A0CXJ#F01.A0E1K$F02.A0ELH$F27.A0CXJ$F33.A0C51$F33.A0C30,Birches (trunk sap),Betula papyrifera Marshall,
"Live animal of the taxonomic genus Chilorhinus spp., within the Family Chlopsidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Chilorhinus£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Chilorhinus",A0MKY#F02.A0EJV,Chilorhinus (generic) (as animal),Chilorhinus spp.,
Cowberry as living plant including all members of the taxonomic group Vaccinium vitis-idaea L. var. vitis-idaea. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Vaccinium_vitis-idaea,A060D#F02.A0EKF,Cowberry (as plant),Vaccinium vitis-idaea L. var. vitis-idaea,
"Live animal of the taxonomic species Schroederichthys chilensis, within the Family Scyliorhinidae. The organisms are commonly known as Redspotted catshark or Holbiche à taches rouges or Pintarroja chilena. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Schroederichthys-chilensis.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Schroederichthys chilensis",A0FLJ#F02.A0EJV,Redspotted catshark (as animal),Schroederichthys chilensis,Holbiche à taches rouges$Pintarroja chilena
"The group includes any type of candied Pear. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.£https://en.wikipedia.org/wiki/Candied_fruit£https://www.google.co.uk/search?tbm=isch&q=Candied fruit, pear",A01PZ#F02.A0ELT$F04.A0BY6$F27.A01DP$F28.A07JQ$F33.A0C4E,"Candied fruit, pear",,
Live animals of the taxonomic species Heterophasia capistrata.The animals are commonly known as Rufous Sibia. The part considered is by default the whole living organism. £https://worldbirdnames.org/master_ioc_list_v14.1.xlsx£https://en.wikipedia.org/wiki/Heterophasia_capistrata£https://www.iucnredlist.org/species/22716699/94506859,A1ABJ#F02.A0EJX,Rufous Sibia (as animal),Heterophasia capistrata,
"The group includes any type of Bologna-type sausage, such as párizsi, pariser or bologna sausage. It is a cooked sausage inspired to mortadella, but often smoked or with other taste variants. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity. The eventual removal of not edible parts is unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.£https://en.wikipedia.org/wiki/Bologna_sausage£https://www.google.co.uk/search?tbm=isch&q=Bologna sausage",A025R#F02.A06AV$F28.A0BA1$F28.A07KY$F28.A0CRH$F33.A0C3H,Bologna-type sausage,,párizsi$pariser$bologna sausage
Live plant organism of the taxonomic group Haemodoraceae (family). The group is relevant for the list of Botanicals. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Haemodoraceae,A139E#F02.A0BA0,Haemodoraceae - family (as plant),Haemodoraceae (family),
Live animals of the taxonomic species Leucosticte arctoa.The animals are commonly known as Asian Rosy-Finch or Asian Rosy Finch. The part considered is by default the whole living organism. £https://worldbirdnames.org/master_ioc_list_v14.1.xlsx£https://en.wikipedia.org/wiki/Leucosticte_arctoa£https://www.iucnredlist.org/species/22720477/132140770,A1AFH#F02.A0EJX,Asian Rosy-Finch (as animal),Leucosticte arctoa,Asian Rosy Finch
"Diadromous fish classified under the species Oncorhynchus keta, commonly known as Chum salmon or Keta salmon. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Oncorhynchus_keta£https://www.google.co.uk/search?tbm=isch&q=edible fish Chum salmon",A028T#F01.A04XJ$F02.A0EMD$F27.A028T$F33.A0C39,Chum salmon,Oncorhynchus keta,Keta salmon
"Live animal of the taxonomic genus Acrossocheilus spp., within the Family Cyprinidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Acrossocheilus£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Acrossocheilus",A0K2Z#F02.A0EJV,Acrossocheilus (generic) (as animal),Acrossocheilus spp.,
"Live animal of the taxonomic genus Sunetta spp., within the Family Veneridae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=205567£https://en.wikipedia.org/wiki/Veneridae",A11FC#F02.A0EJR,Sunetta (generic) (as animal),Sunetta spp.,
"Live animal of the taxonomic species Maja squinado, within the family Majidae. The organisms are commonly known as Spinous spider crab or Araignée européenne or Centolla europea. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Maja squinado£https://en.wikipedia.org/wiki/Maja_squinado",A0A3D#F02.A0EJQ,Spinous spider crab (as animal),Maja squinado,Araignée européenne$Centolla europea
"Live animal of the taxonomic species Pungitius tymensis Nikolskii, Pungitius pungitius tymensis Nikolskii, within the family Gasterosteidae. The organisms are commonly known as Sakhalin stickleback. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Pungitius-tymensis.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Pungitius",A0859#F02.A0EJV,Sakhalin stickleback (as animal),Pungitius tymensis Nikolskii$Pungitius pungitius tymensis Nikolskii,
"Citrus fruit from the plant classified under the species Citrus reticulata Blanco or Citrus deliciosa Ten., commonly known as Mandarins or Mandarin orange or Tangerine. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Citrus_reticulata£https://www.google.co.uk/search?tbm=isch&q=Mandarins",A01CD#F01.A05XD$F02.A0ELC$F27.A01CD$F33.A0C51,Mandarins,Citrus reticulata Blanco$Citrus deliciosa Ten.,Mandarin orange$Tangerine
"Live animal of the taxonomic genus Saccostrea spp., within the Family Ostreidae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=138300£https://en.wikipedia.org/wiki/Saccostrea",A116D#F02.A0EJR,Saccostrea (generic) (as animal),Saccostrea spp.,
"Live animal of the taxonomic species Hatcheria macraei, within the Family Trichomycteridae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Hatcheria-macraei.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Hatcheria",A0LTA#F02.A0EJV,Hatcheria macraei (as animal),Hatcheria macraei,
"Live animal of the taxonomic species Musculus marmoratus Forbes, within the Family Mytilidae. The organisms are commonly known as Spotted Mussel. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=152587£https://en.wikipedia.org/wiki/Musculus_(genus)",A0AZ2#F02.A0EJR,Spotted Mussel (as animal),Musculus marmoratus Forbes,
"Live animal of the taxonomic genus Cyprichromis spp., within the Family Cichlidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Cyprichromis£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Cyprichromis",A0R8X#F02.A0EJV,Cyprichromis (generic) (as animal),Cyprichromis spp.,
"Collective generic group referring to the pesticide grouping in EU pesticide regulation; it includes any type of bovine slaughtering products, other than organs, fat and muscle. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Offal",A020R#F01.A0F1V$F02.A0BYL$F27.A020R$F33.A0C3M,Bovine other slaughtering products,,Other tissues from bovine
Live animal of the taxonomic family Diomedeidae. The animals are commonly known as Albatrosses. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Albatross,A187T#F02.A0EJX,Albatrosses (as animal),Diomedeidae (family),
"Infusion materials from leaves and herbs of the plant classified under the species Galeopsis segetum Neck., commonly known as Downy hemp nettle infusion leaves. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Galeopsis_segetum",A0D5V#F01.A0E5G$F02.A0EKX$F27.A0D5V$F33.A0C1Q,Downy hemp nettle infusion leaves,Galeopsis segetum Neck.,
"Live animal of the taxonomic species Mangarinus waterousi, within the Family Gobiidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Mangarinus-waterousi.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Mangarinus waterousi",A0TMS#F02.A0EJV,Mangarinus waterousi (as animal),Mangarinus waterousi,
"Live animal of the taxonomic genus Austrolethops spp., within the Family Gobiidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Austrolethops£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Austrolethops",A0TCK#F02.A0EJV,Austrolethops (generic) (as animal),Austrolethops spp.,
"Bulbs from the plant classified under the species Allium ampeloprasum L. var. ampeloprasum or Allium porrum L., commonly known as Pearl onion or Garlic, great-headed or elephant garlic or kurrat. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Pearl_onion£https://www.google.co.uk/search?tbm=isch&q=Pearl+onion",A00HA#F01.A05BV$F02.A067A$F27.A00HA$F33.A0C51,Pearl onion,Allium ampeloprasum L. var. ampeloprasum$Allium porrum L.,"Garlic, great-headed$elephant garlic$kurrat"
"Live animal of the taxonomic species Rudarius ercodes, within the Family Monacanthidae. The organisms are commonly known as Whitespotted pygmy filefish. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Rudarius-ercodes.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Rudarius ercodes",A0YCG#F02.A0EJV,Whitespotted pygmy filefish (as animal),Rudarius ercodes,
Live animal of the taxonomic species Rangifer tarandus L. The animals are commonly known as Reindeer. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Reindeer,A056Q#F02.A0EJN,Reindeer (as animal),Rangifer tarandus L.,
"Live animal of the taxonomic species Carcharhinus brachyurus, within the Family Carcharhinidae. The organisms are commonly known as Copper shark or Requin cuivre or Tiburón cobrizo. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Carcharhinus-brachyurus.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Carcharhinus brachyurus",A09A3#F02.A0EJV,Copper shark (as animal),Carcharhinus brachyurus,Requin cuivre$Tiburón cobrizo
"Live animal of the taxonomic genus Littoraria spp., within the Family Littorinidae. The part considered is by default the whole living organism.£http://www.marinespecies.org/aphia.php?p=taxdetails&id=206218£https://en.wikipedia.org/wiki/Littoraria",A104J#F02.A0EJR,Littoraria (generic) (as animal),Littoraria spp.,
"The group includes any type of Risotto, a typical Italian dish based on rice and different types of sauces. More detailed information on the characterising ingredients can be added with additional facet descriptors. The part consumed/analysed is by default the whole marketed unit or a homogeneous representative portion.£https://en.wikipedia.org/wiki/Risotto£https://www.google.co.uk/search?tbm=isch&q=Risotto",A041F#F02.A06GV$F04.A001D$F28.A0BA1,Risotto,,
Live plant organism of the taxonomic group Aspidosperma quebracho-blanco Schltdl. The group is relevant for the list of Botanicals. The plant is a member of the family Apocynaceae. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Aspidosperma_quebracho-blanco,A13RD#F02.A0BA0,Aspidosperma quebracho-blanco Schltdl. (as plant),Aspidosperma quebracho-blanco Schltdl.,
Live plant organism of the taxonomic group Malpighiaceae (family). The group is relevant for the list of Botanicals. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Malpighiaceae,A13AG#F02.A0BA0,Malpighiaceae - family (as plant),Malpighiaceae (family),
"Live animal of the taxonomic species Oreochromis saka, within the Family Cichlidae. The part considered is by default the whole living organism.£http://www.fishbase.se/summary/Oreochromis-saka.html£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Oreochromis",A0RAJ#F02.A0EJV,Oreochromis saka (as animal),Oreochromis saka,
Live animals of the taxonomic species Larus canus. The animals are commonly known as Common Gull or Mew Gull. The part considered is by default the whole living organism. £https://worldbirdnames.org/master_ioc_list_v14.1.xlsx£https://en.wikipedia.org/wiki/Common_gull£https://www.iucnredlist.org/species/22694308/155576460£https://avibase.bsc-eoc.org/species.jsp?lang=EN&avibaseid=00DA9D9151189271,A175L#F02.A0EJX,Common Gull (as animal),Larus canus,Mew Gull
"Live animal of the taxonomic genus Acantopsis spp., within the Family Cobitidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Acantopsis£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Acantopsis",A0KQL#F02.A0EJV,Acantopsis (generic) (as animal),Acantopsis spp.,
Live animals of the taxonomic species Sitta europaea. The animals are commonly known as Eurasian Nuthatch. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Eurasian_nuthatch£https://www.iucnredlist.org/species/103879804/132199203,A183R#F02.A0EJX,Eurasian Nuthatch (as animal),Sitta europaea,
"Live animal of the taxonomic genus Esox spp., within the Family Esocidae. The part considered is by default the whole living organism.£http://www.fishbase.se/identification/SpeciesList.php?genus=Esox£http://www.marinespecies.org/aphia.php?p=taxlist&tName=Esox",A0HCG#F02.A0EJV,Esox (generic) (as animal),Esox spp.,
