termCode,termExtendedName,termScopeNote
A01QR,Meat and meat products,"The group includes any type of Tissues from animal species as defined in the pesticide regulation. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation."
A01QT,Generic traditionally farmed mammals fresh meat,The group covers fresh meat (with possible presence of minor amounts of fat). Included sources are all non game mammals. Deer and wild boar are considered non game.Group/item including e.g. red fresh meat lean.
A01RR,Other traditionally farmed mammals fresh meat,"Fresh meat from other farm mammals excluding swine, bovine, sheep, goat, equines, rabbit, deers, wild boar."
A01RZ,Traditionally game mammals fresh meat,"The group covers fresh meat (with possible presence of minor amounts of fat). Included sources are all game mammals, farmed or not."
A01SK,Other traditionally game mammals fresh meat,"The group covers fresh meat (with possible presence of minor amounts of fat). The group includes game mammals with the exclusion of all deer, wild boar or hare, which are individually listed in the parent group."
A01SV,Other poultry fresh meat,"The group covers fresh meat (with possible presence of minor amounts of fat). Included sources are partridge, pheasant, pigeon and quail."
A01TL,Other game birds fresh meat,"group covering other game birds fresh meat lean. Excluded, elsewhere listed, sources are partridge, pheasant, pigeon, quail, wild goose,mallard, snipe, grouse, ptarmigan."
A01TM,Mixed fresh meat,"The group includes any type of Mixed fresh meat. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A01TS,"Undefined mixed fresh meat, other species","The group includes any type of Undefined mixed fresh meat, other species. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A01TV,"Generic traditionally farmed mammals, fresh fat tissue",The group covers fresh fat tissue (with possible presence of minor amounts of lean meat). Included sources are all non game mammals. Deer and wild boar are considered non game.
A01VH,"Other non-game mammals, fresh fat tissue","Fresh fat tissue from other farm mammals excluding swine, bovine, sheep, goat, equines, rabbit, deers, wild boar."
A01VK,"Traditionally game mammals, fresh fat tissue","The group covers fresh fat tissue (with possible presence of minor amounts of lean meat). Included sources are all game mammals, farmed or not."
A01VP,"Other game mammals, fresh fat tissue","The group covers fresh fat tissue (with possible presence of minor amounts of lean meat). The group includes game mammals with the exclusion of all deer, wild boar or hare, which are individually listed in the parent group."
A01VY,"Other poultry, fresh fat tissue","The group covers fresh fat tissue (with possible presence of minor amounts of lean meat). Included sources are partridge, pheasant, pigeon and quail."
A01VZ,"Traditionally game birds, fresh fat tissue","group covering game birds fresh fat tissue. Excluded, elsewhere listed, sources are partridge, pheasant, pigeon and quail."
A01XC,Animal offal,"The group includes any type of Animal offal. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity. The eventual removal of not edible parts is unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A01XE,Generic non-game mammals liver,The group looks specifically at liver. Included sources are all non game mammals. Deer and wild boar are considered non game.
A01XR,Other non-game mammals liver,"Liver from other farm mammals excluding swine, bovine, sheep, goat, equines, rabbit, deers, wild boar."
A01XS,Game mammals liver,"The group looks specifically at liver. Included sources are all game mammals, farmed or not."
A01XX,Other game mammals liver,"The group looks specifically at liver. The group includes game mammals with the exclusion of all deer, wild boar or hare, which are individually listed in the parent group."
A01YE,Other poultry liver,"The group looks specifically at liver. Included sources are partridge, pheasant, pigeon and quail."
A01YF,Game birds liver,"group covering game birds liver. Excluded, elsewhere listed, sources are partridge, pheasant, pigeon and quail."
A01YH,Generic non-game mammals kidney,The group looks specifically at kidney. Included sources are all non game mammals. Deer and wild boar are considered non game.
A01YV,Other non-game mammals kidney,"kidney from other farm mammals excluding swine, bovine, sheep, goat, equines, rabbit, deers, wild boar."
A01YX,Game mammals kidney,"The group looks specifically at kidney. Included sources are all game mammals, farmed or not."
A01ZA,Other game mammals kidney,"The group looks specifically at kidney. The group includes game mammals with the exclusion of all deer, wild boar or hare, which are individually listed in the parent group."
A01ZH,Other poultry kidney,"The group looks specifically at kidney. Included sources are partridge, pheasant, pigeon and quail."
A01ZJ,Game birds kidney,"group covering game birds kidney. Excluded, elsewhere listed, sources are partridge, pheasant, pigeon and quail."
A01ZL,"Generic non-game mammals, other organs (edible offal non-muscle)",The group looks specifically at non-muscle internal organs excluding liver and kidney. Included sources are all non game mammals. Deer and wild boar are considered non game.
A01ZY,"Other non-game mammals, other organs (edible offal non-muscle)","Other organs (edible offals non-muscle) from other farm mammals excluding swine, bovine, sheep, goat, equines, rabbit, deers, wild boar."
A020A,"Game mammals, other organs (edible offal non-muscle)","The group looks specifically at non-muscle internal organs excluding liver and kidney. Included sources are all game mammals, farmed or not."
A020D,"Other game mammals, other organs (edible offal non-muscle)","The group looks specifically at non-muscle internal organs excluding liver and kidney. The group includes game mammals with the exclusion of all deer, wild boar or hare, which are individually listed in the parent group."
A020L,"Other poultry, other organs (edible offal non-muscle)","The group looks specifically at non-muscle internal organs excluding liver and kidney. Included sources are partridge, pheasant, pigeon and quail."
A020M,"Game birds, other organs (edible offal non-muscle)","group covering Game birds, other organs (edible offal non-muscle). Excluded, elsewhere listed, sources are partridge, pheasant, pigeon and quail."
A020N,"Other game birds, other organs (edible offal non-muscle)","group covering other game birds, other organs (edible offals non-muscle). Excluded, elsewhere listed, sources are partridge, pheasant, pigeon, quail, wild goose,mallard, snipe, grouse, ptarmigan."
A020Q,"Generic non-game mammals, other slaughtering products","The group looks at offals other than liver, kidney and similar non-muscle internal organs. Included sources are all non game mammals. Deer and wild boar are considered non game."
A021S,"Other non-game mammals, other slaughtering products","Other slaughtering productsfrom other farm mammals excluding swine, bovine, sheep, goat, equines, rabbit, deers, wild boar."
A021T,"Game mammals, other slaughtering product","The group looks at offals other than liver, kidney and similar non-muscle internal organs. Included sources are all game mammals, farmed or not."
A021Y,"Other game mammals, other slaughtering products (p)","The group looks at offals other than liver, kidney and similar non-muscle internal organs. The group includes game mammals with the exclusion of all deer, wild boar or hare, which are individually listed in the parent group."
A022G,"Other poultry, other slaughtering products","The group looks at offals other than liver, kidney and similar non-muscle internal organs. Included sources are partridge, pheasant, pigeon and quail."
A022H,"Game birds, other slaughtering products","group covering Game birds, other slaughtering products. Excluded, elsewhere listed, sources are partridge, pheasant, pigeon and quail."
A022J,Meat products,"The group includes any type of Meat products. The part consumed/analysed is by default either the whole or a portion of it representing the observed heterogeneity. The eventual removal of not edible parts is unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A022K,Fresh meat preparations,"The group includes any type of Fresh meat preparations. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity. The eventual removal of not edible parts is unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A023Y,Corned other poultry,"The group includes any type of corned other poultry. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity. The eventual removal of not edible parts is unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A026T,Fish and seafood,"The category covers all fresh and preserved products obtained from fish, and other seafood. Marine mammals are included as well."
A02KP,"Amphibians, reptiles, and terrestrial invertebrates","Frog, lizard, snake, turtle and crocodile products are the edible parts from various animal species of the zoological classes Amphibia and Reptilia, usually wild, harvested for food. A few edible species of terrestrial (land) snails are cultivated. They have an inedible outer shell. Insects are eaten as food in some areas of the world, which includes, for example crickets, cicadas, grasshoppers, ants, and a variety of grubs and beetles."
A032F,"Sugar and similar, confectionery and water-based sweet desserts",The category covers a heterogeneous range of sweet foods.
A034F,Chocolate and chocolate products,The group includes any type of Chocolate. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.
A039K,Fruit and vegetable juices and nectars (including concentrates),The category includes fruit and vegetable based beverages and their concentrated forms. The minimum amount of fruit contained in these products is defrined by legislation.
A03DJ,Water and water-based beverages,The category covers beverages non containing alcohol (ethanol). Fruit and vegetables juices and nectars are excluded from this category.
A03GG,"Coffee, cocoa, tea and infusions","The category covers both raw materials and infusions of cacao, coffee, tea and other vegetable products for infusions."
A03GH,"Ingredients for coffee, cocoa, tea, and herbal infusions","The group includes any type of Coffee, cocoa, tea and herbal ingredients. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A03HE,Cocoa ingredients,"The group includes any type of Cocoa ingredients. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A03RQ,"Products for non-standard diets, food imitates and food supplements","The category covers foods for infants and small children, foods for weight reduction, food for sporting people, food for special medical use and supplements."
A049D,Groups for biological monitoring,The group includes any type of Groups for biological monitoring.
A049E,Animal meat food,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of Animal-derived food falling in the domain of 'meat'. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A049F,Generic non-game mammals meat food,"Group/item (specifically used in the domain of biological monitoring) including e.g. red-derived food falling in the domain of 'meat'. The group includes any type of generic non-game mammals-derived food falling in the domain of 'meat'. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A049H,Generic non-game mammals fresh meat / fat tissue,"Group/item (specifically used in the domain of biological monitoring) including e.g. red fresh meat. The group includes any type of generic non-game mammals fresh meat / fat tissue. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A049J,"Generic non-game mammals, minced meat","Group/item (specifically used in the domain of biological monitoring) including e.g. red minced meat. The group includes any type of generic non-game mammals, minced meat. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A049K,Generic non-game mammals msm,"Group/item (specifically used in the domain of biological monitoring) including e.g. red MSM. The group includes any type of generic non-game mammals MSM. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A049L,Generic non-game mammals offal,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of generic non-game mammals offal. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A049M,Generic non-game mammals meat preparations,"Group/item (specifically used in the domain of biological monitoring) including e.g. red meat preparations. The group includes any type of generic non-game mammals meat preparations. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A049N,Generic non-game mammals meat products,"Group/item (specifically used in the domain of biological monitoring) including e.g. red meat products. The group includes any type of generic non-game mammals meat products. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A049P,Bovine meat food,"Classified under the species Bos primigenius (taurus) Bojanus or Bos taurus L. or Bos indicus L. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation."
A049R,Bovine fresh meat / fat tissue,"Group/item (specifically used in the domain of biological monitoring). The group includes all types of bovine fresh meat / fat tissue. This group covers also yak, zebu and buffalos. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A049V,Bovine offal,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of bovine offal. This group covers also yak, zebu and buffalos."
A049X,Bovine meat preparations,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of bovine meat preparations. This group covers also yak, zebu and buffalos."
A049Y,Bovine meat products,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of bovine meat products. This group covers also yak, zebu and buffalos."
A049Z,Pig meat food,"Classified under the species Sus scrofa L. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation."
A04AB,Pig fresh meat / fat tissue,"Group/item (specifically used in the domain of biological monitoring) including e.g. swine fresh meat / fat tissue. The group includes any type of pig (swine) fresh meat / fat tissue. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04AE,Pig offal,"Group/item (specifically used in the domain of biological monitoring) including e.g. swine offals. The group includes any type of pig (swine) offals. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04AF,Pig meat preparations,"Group/item (specifically used in the domain of biological monitoring) including e.g. swine meat preparations. The group includes any type of pig (swine) meat preparations. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04AG,Pig meat products,"Group/item (specifically used in the domain of biological monitoring) including e.g. swine meat products. The group includes any type of pig (swine) meat products. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04AH,Sheep meat food,"Classified under the species Ovis aries L. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation."
A04AK,Sheep fresh meat / fat tissue,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of sheep fresh meat / fat tissue. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04AN,Sheep offal,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of sheep offals. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04AP,Sheep meat preparations,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of sheep meat preparations. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04AQ,Sheep meat products,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of sheep meat products. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04AR,Goat meat food,"Classified under the species Capra hircus L. or Capra aegagrus hircus. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation."
A04AT,Goat fresh meat / fat tissue,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of goat fresh meat / fat tissue. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04AY,Goat offal,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of goat offal. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04AZ,Goat meat preparations,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of goat meat preparations. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04BA,Goat meat products,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of goat meat products. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04BB,Horse meat food,"Group/item (specifically used in the domain of biological monitoring) belonging to the taxonomic group Equus ferus caballus. The group includes any type of horse-derived food falling in the domain of 'meat'. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04BD,Horse fresh meat / fat tissue,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of horse fresh meat / fat tissue. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04BG,Horse offal,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of horse offal. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04BH,Horse meat preparations,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of horse meat preparations. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04BJ,Horse meat products,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of horse meat products. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04BK,Asses-mules-hinnies meat food,"Group/item (specifically used in the domain of biological monitoring) belonging to the taxonomic group Equus spp. The group includes any type of asses-mules-hinnies-derived food falling in the domain of 'meat'. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04BM,Asses-mules-hinnies fresh meat / fat tissue,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of asses-mules-hinnies fresh meat / fat tissue. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04BQ,Asses-mules-hinnies offal,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of asses-mules-hinnies offal. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04BR,Asses-mules-hinnies meat preparations,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of asses-mules-hinnies meat preparations. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04BS,Asses-mules-hinnies meat products,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of asses-mules-hinnies meat products. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04BT,Rabbit meat food,"Group/item (specifically used in the domain of biological monitoring) belonging to the taxonomic group Oryctolagus cuniculus. The group includes any type of rabbit-derived food falling in the domain of 'meat'. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04BX,Rabbit fresh meat / fat tissue,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of rabbit fresh meat / fat tissue. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04CA,Rabbit offal,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of rabbit offals. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04CB,Rabbit meat preparations,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of rabbit meat preparations. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04CC,Rabbit meat products,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of rabbit meat products. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04CD,Deer meat food,"Group/item (specifically used in the domain of biological monitoring) belonging to the taxonomic group cervidae. including e.g. venison. The group includes any type of deer-derived food falling in the domain of 'meat'. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04CF,Deer fresh meat / fat tissue,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of deer fresh meat / fat tissue. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04CJ,Deer offal,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of deer offal. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04CK,Deer meat preparations,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of deer meat preparations. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04CL,Deer meat products,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of deer meat products. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04CM,Wild boar meat food,"Group/item (specifically used in the domain of biological monitoring) belonging to the taxonomic group Sus scrofa scrofa. The group includes any type of wild boar-derived food falling in the domain of 'meat'. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04CP,Wild boar fresh meat / fat tissue,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of wild boar fresh meat / fat tissue. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04CS,Wild boar offal,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of wild boar offals. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04CT,Wild boar meat preparations,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of wild boar meat preparations. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04CV,Wild boar meat products,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of wild boar meat products. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04CX,Other mammals meat food,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of other mammals-derived food falling in the domain of 'meat'. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04CY,Other mammals carcase,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of other mammals carcase. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04CZ,Other mammals fresh meat / fat tissue,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of other mammals fresh meat / fat tissue. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04DA,"Other mammals, minced meat","Group/item (specifically used in the domain of biological monitoring). The group includes any type of other mammals, minced meat. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04DB,Other mammals msm,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of other mammals MSM. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04DC,Other mammals offal,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of other mammals offals. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04DD,Other mammals meat preparations,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of other mammals meat preparations. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04DE,Other mammals meat products,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of other mammals meat products. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04DF,Poultry meat food,"The group includes (f) Tissues from poultry as defined in the pesticide regulation. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation."
A04DH,Generic poultry fresh meat / fat tissue,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of generic poultry fresh meat / fat tissue. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04DJ,"Generic poultry, minced meat","Group/item (specifically used in the domain of biological monitoring). The group includes any type of generic poultry, minced meat. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04DL,Generic poultry offal,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of generic poultry offal. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04DM,Generic poultry meat preparations,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of generic poultry meat preparations. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04DN,Generic poultry meat products,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of generic poultry meat products. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04DP,Chicken meat food,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of chicken-derived food falling in the domain of 'meat'. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04DR,Chicken fresh meat / fat tissue,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of chicken fresh meat/fresh fat tissue. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04DV,Chicken offal,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of chicken offal. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04DX,Chicken meat preparations,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of chicken meat preparations. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04DY,Chicken meat products,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of chicken meat products. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04DZ,Turkey meat food,"Group/item (specifically used in the domain of biological monitoring) belonging to the taxonomic group Meleagris gallopavo. The group includes any type of turkey-derived food falling in the domain of 'meat'. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04EB,Turkey fresh meat / fat tissue,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of turkey fresh meat / fat tissue. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04EE,Turkey offal,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of turkey offals. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04EF,Turkey meat preparations,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of turkey meat preparations. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
A04EG,Turkey meat products,"Group/item (specifically used in the domain of biological monitoring). The group includes any type of turkey meat products. The part consumed/analysed is by default unspecified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors."
