code,name,label,scopeNote
F03,state,Physical-state,"This facet describes the form (physical aspect) of the food as reported by the consumer (as estimated during interview or as registered in the diary) (Consumption Data) or as expressed in the analysis results in the laboratory (Occurrence Data). Only one descriptor from this facet can be added to each entry, apart from the specification “with solid particles”. This facet should only be used in case of raw foods and ingredients (not for composite foods)."
F07,fat,Fat-content,"This is a facet with numerical descriptors, to allow providing the fat content (as percentage w/w) of a food item. Only one descriptor from this facet can be added to each entry."
F11,alcohol,Alcohol-content,"This is a facet containing information from the food label.This is a facet with numerical descriptors, to allow providing the alcohol (ethanol) content (as percentage v/v) of a food item. The European Union follows recommendations of the International Organization of Legal Metrology (OIML). OIML International Recommendation No 22 (1973) provides standards for measuring alcohol strength by volume and by mass. Only one descriptor from this facet can be added to each entry."
F12,dough,Dough-Mass,"This facet is proposed to provide information on the original dough-mass, for bakery products. The descriptors for this facet are taken from a selected subset of the food list. More than one descriptor can be applied to each entry, provided they are not contradicting each other."
F20,partcon,Part-consumed-analysed,"When reporting food analysed or consumed, this facet allows specifying in which form the food item was analysed or consumed. More than one descriptor can be applied to each entry, provided they are not contradicting each other."
F22,place,Preparation-production-place,This facet allows recording the place where the food was prepared for consumption. Only one descriptor from this facet can be added to each entry.
F23,targcon,Target-consumer,"This facet allows recording different consumer classes intended as target for the food item. For laboratory uses when reporting analyses for feed, a list or target animals is also included. More than one descriptor can be applied to each entry, provided they are not contradicting each other."
F24,use,Intended-use,"This facet allows recording the intended use of a food item, in particular with respect to further treatment expected (or not expected) before consumption. Only one descriptor from this facet can be added to each entry."
F25,riskingred,Risky-Ingredient,"This facet (of specific interest in the microbiological domain) allows recording the presence of microbiologically high-risk ingredients. More than one descriptor can be applied to each entry, provided they are not contradicting each other."
F29,fpurpose,Purpose-of-raising,"This facet allows recording the purpose of farming, keeping or breeding (e.g. milk production, egg production). More than one descriptor can be applied to each entry, provided they are not contradicting each other."
F30,replev,Reproductive-level,"This facet allows recording classes of animals from the point of view of reproduction. More than one descriptor can be applied to each entry, provided they are not contradicting each other."
F31,animage,Animal-age-class,"This facet allows recording the classes of the animal used in legislation or in the practice, based on age or development stage. More than one descriptor can be applied to each entry, provided they are not contradicting each other."
F32,gender,Gender,"This facet allows recording the status of an animal or animal group, with respect to sex. More than one descriptor can be applied to each entry, provided they are not contradicting each other."
F33,legis,Legislative-classes,This facet allows recording the food additives classes as reported in the legislation in order. Only one descriptor from this facet can be added to each entry.
prodTreat,prodTreat,Production Treatment (SSD1),"This attribute provides a mapping with PRODTR catalogue, sometimes it's combined with FOODEX code to provide a mapping between SSD2 and SSD1"
F34,hostsampled,Host-sampled,"This facet provides information on the host-sampled indicating the host involved in the sampling process, i.e. for samples taken from vectors it indicates the species of the host where the vector was attached at the time of sampling. Only one descriptor from this facet can be added to each entry."
