ENFOODNAME,ENFOODNAME_SIMPLE,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live crustaceans (as part-nature) (This nature refers to live crustaceans)",part: Live crustaceans (as part-nature),A0ZZF#F02.A0EJQ,Hairy matchbox crab (as animal),Sesarma sulcatum,Anglette poilue$Abuete cajeta peluda
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Processed cereal-based food for infants and young children (as part-nature) (All products constituted by processed cereals and intended to provide the first cereal source to infants after weaning) | ingred (This facet collects ingredients and/or flavour note. Regarding ingredients this facet serves the purpose of providing information on ingredients of a composite food being important from some point of view, like allergic reactions, hazards, but also aspect, taste. The descriptors for this facet are taken from a selected subset of the main list (actually a relevant part of the food list). More (none contradicting) descriptors can be applied to each entry.): Cereal grains and similar and primary derivatives thereof (The category covers all cereals and cereal-like grains, including derivatives and cereal-based products. So, this category contains the raw commodities as well as the primary derivatives of them, like flours, semolina, germ and bran. Moreover, products mainly obtained from cereals and cereal-like grains are included, regardless if they are simple composites, like bread, breakfast cereals and pasta, or complex composites, like filled fine bakery products. The latter are included because of their perceived nature according to tradition.£https://en.wikipedia.org/wiki/Cereal£https://www.google.co.uk/search?tbm=isch&q=Cereal+grains) | process (This facet allows recording different characteristics of the food: preservation treatments a food item underwent, technological steps or treatments applied while producing a food item, the way a food item has been heat treated before consumption and the way a food item has been prepared for final consumption (particularly needed for consumption surveys and includes preparation (like battering or breading) as well as heat treatment steps). More (none contradicting) descriptors can be applied to each entry.): Reconstitution from concentrate, powder or other dehydrated form (Said of concentrated or dried food brought back to the original water content (or moisture) by addition of water) | legis (This facet allows recording the food additives classes as reported in the legislation in order. Only one descriptor from this facet can be added to each entry.): FA-13.1.3 Processed cereal-based foods and baby foods for infants and young children as defined by Commission Directive 2006/125/EC ( 2 ) (Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008))","part: Processed cereal-based food for infants and young children (as part-nature) | ingred: Cereal grains and similar and primary derivatives thereof | process: Reconstitution from concentrate, powder or other dehydrated form | legis: FA-13.1.3 Processed cereal-based foods and baby foods for infants and young children as defined by Commission Directive 2006/125/EC ( 2 )",A0BZE#F02.A06FK$F04.A0EZF$F28.A07MR$F33.A0C28,"Simple cereals for infants or children, reconstituted",,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Fruit/vegetable concentrate (as part-nature) (Product obtained by concentrating (reducing the water content of) fruit or vegetable liquid products (they may contain or not fibers or particles)) | process (This facet allows recording different characteristics of the food: preservation treatments a food item underwent, technological steps or treatments applied while producing a food item, the way a food item has been heat treated before consumption and the way a food item has been prepared for final consumption (particularly needed for consumption surveys and includes preparation (like battering or breading) as well as heat treatment steps). More (none contradicting) descriptors can be applied to each entry.): Concentration / evaporation (Increase in certain contents by removal of water and/or other constituents. This happens in the case of milk with reduction of water content by action of evaporation (under vacuum or not), but still in liquid form.) | process (This facet allows recording different characteristics of the food: preservation treatments a food item underwent, technological steps or treatments applied while producing a food item, the way a food item has been heat treated before consumption and the way a food item has been prepared for final consumption (particularly needed for consumption surveys and includes preparation (like battering or breading) as well as heat treatment steps). More (none contradicting) descriptors can be applied to each entry.): Juicing (Transforming into a juice by physical or enzymatic action or a combination of the two (particularly applicable to fruit or vegetables)) | legis (This facet allows recording the food additives classes as reported in the legislation in order. Only one descriptor from this facet can be added to each entry.): FA-14.1.2 Fruit juices as defined by Directive 2001/112/EC and vegetable juices (Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008))",part: Fruit/vegetable concentrate (as part-nature) | process: Concentration / evaporation | process: Juicing | legis: FA-14.1.2 Fruit juices as defined by Directive 2001/112/EC and vegetable juices,A03CF#F02.A068S$F27.A01GK$F28.A07KF$F28.A07LN$F33.A0C1X,"Juice concentrate, sweet cherry",,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live crustaceans (as part-nature) (This nature refers to live crustaceans)",part: Live crustaceans (as part-nature),A0AJG#F02.A0EJQ,Whip shrimp (as animal),Dichelopandalus bonnieri,Crevette fouet$Camarón latiguillo$Whip Shrimp
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live birds (as part-nature) (This nature refers to live birds)",part: Live birds (as part-nature),A1ALP#F02.A0EJX,Red-throated Twinspot (as animal),Hypargos niveoguttatus,Peters's Twinspot
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live plants (as part-nature) (The facet descriptor refers to the entire plant including all its parts)",part: Live plants (as part-nature),A150V#F02.A0BA0,Ligusticum sinense Oliv. (as plant),"Ligusticum sinense Oliv.$Ligusticum chuanxiong Qui, Zeng, Pan, Tang & Xu",
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0VPX#F02.A0EJV,Labrisomus (generic) (as animal),Labrisomus spp.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live leafy vegetables (as part-nature) (This nature refers to live leafy vegetables)",part: Live leafy vegetables (as part-nature),A05GA#F02.A0EKL,Watercress (as plant),Nasturtium officinale R.Br.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live plants (as part-nature) (The facet descriptor refers to the entire plant including all its parts)",part: Live plants (as part-nature),A141F#F02.A0BA0,Ceratocephala testiculata (Crantz) Besser (as plant),Ceratocephala testiculata (Crantz) Besser$Ranunculus testiculatus Crantz,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0Y3Z#F02.A0EJV,Black-banded pigmy boxfish (as animal),Capropygia unistriata,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Microorganisms, live (as part-nature) (Bacteria, yeasts or moulds approved for use in food manufacture)","part: Microorganisms, live (as part-nature)",A16JP#F02.A06CK,Streptomyces murinus (as organism),Streptomyces murinus,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live plants (as part-nature) (The facet descriptor refers to the entire plant including all its parts)",part: Live plants (as part-nature),A13ES#F02.A0BA0,Acacia concinna (Willd.) DC. (as plant),Acacia concinna (Willd.) DC.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Infant formulae (as part-nature) (Formulae imitating mother milk to integrate or substitute nursing) | state (This facet describes the form (physical aspect) of the food as reported by the consumer (as estimated during interview or as registered in the diary) (Consumption Data) or as expressed in the analysis results in the laboratory (Occurrence Data). Only one descriptor from this facet can be added to each entry, apart from the specification “with solid particles”. This facet should only be used in case of raw foods and ingredients (not for composite foods).): Powder (Solid food in form of very small particles, difficult to recognise singularly without optical instruments) | targcon (This facet allows recording different consumer classes intended as target for the food item. For laboratory uses when reporting analyses for feed, a list or target animals is also included. More than one descriptor can be applied to each entry, provided they are not contradicting each other.): Infant or toddler food (Food primarily intended for infants or toddlers) | process (This facet allows recording different characteristics of the food: preservation treatments a food item underwent, technological steps or treatments applied while producing a food item, the way a food item has been heat treated before consumption and the way a food item has been prepared for final consumption (particularly needed for consumption surveys and includes preparation (like battering or breading) as well as heat treatment steps). More (none contradicting) descriptors can be applied to each entry.): Drying (dehydration) (Transformation of moist food/feed into its solid - dry form due to almost complete subtraction of water) | legis (This facet allows recording the food additives classes as reported in the legislation in order. Only one descriptor from this facet can be added to each entry.): FA-13.1.1 Infant formulae as defined by Commission Directive 2006/141/EC ( 1 ) (Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008))",part: Infant formulae (as part-nature) | state: Powder | targcon: Infant or toddler food | process: Drying (dehydration) | legis: FA-13.1.1 Infant formulae as defined by Commission Directive 2006/141/EC ( 1 ),A03PZ#F02.A06FH$F03.A06JD$F23.A07TF$F28.A07KG$F33.A0C2A,"Infant formulae, powder",,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live birds (as part-nature) (This nature refers to live birds)",part: Live birds (as part-nature),A184Q#F02.A0EJX,Citril Finch (as animal),Carduelis citrinella$Serinus citrinella,Alpine Citril Finch
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live plants (as part-nature) (The facet descriptor refers to the entire plant including all its parts)",part: Live plants (as part-nature),A199J#F02.A0BA0,Madras thorn (as plant),Pithecellobium dulce ,Manila tamarind 
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0GMB#F02.A0EJV,Polypterus endlicheri (as animal),Polypterus endlicheri,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live molluscs (as part-nature) (This nature refers to live molluscs)",part: Live molluscs (as part-nature),A0APX#F02.A0EJR,Beaded venus clam (as animal),Protothaca granulata Gmelin,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live plants (as part-nature) (The facet descriptor refers to the entire plant including all its parts)",part: Live plants (as part-nature),A17CQ#F02.A0BA0,Pongamia pinnata (L.) Pierre (as plant),Pongamia pinnata (L.) Pierre$Millettia pinnata (L.) Panigrahi$Pongamia glabra Vent.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Leavened bread (as part-nature) (Breads including action of yeasts or leavening agents during processing to create a soft structure) | qual (This facet provides some principal claims related to important nutrients-ingredients, like fat, sugar etc. It is not intended to include health claims or similar. The present guidance provides a limited list, to be eventually improved during the evolution of the system. More than one descriptor can be applied to each entry, provided they are not contradicting each other.): White/refined (Product subject to usual refinement processes, the unwanted components are separated in refined products) | legis (This facet allows recording the food additives classes as reported in the legislation in order. Only one descriptor from this facet can be added to each entry.): FA-07.1 Bread and rolls (Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008))",part: Leavened bread (as part-nature) | qual: White/refined | legis: FA-07.1 Bread and rolls,A005A#F02.A06CN$F04.A00ZT$F04.A001M$F10.A07XK$F33.A0C3T,"Wheat bread and rolls, white with potato",,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live molluscs (as part-nature) (This nature refers to live molluscs)",part: Live molluscs (as part-nature),A0B4Z#F02.A0EJR,Pterygioteuthis (generic) (as animal),Pterygioteuthis spp.,Fire Squid
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Stalks/canes for sugar (as part-nature) (Stalks of plants or canes mainly used for sugar production) | legis (This facet allows recording the food additives classes as reported in the legislation in order. Only one descriptor from this facet can be added to each entry.): FA-04.1 Unprocessed fruit and vegetables (Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008))",part: Stalks/canes for sugar (as part-nature) | legis: FA-04.1 Unprocessed fruit and vegetables,A0BB7#F01.A0BB4$F02.A0ELH$F27.A0BB7$F33.A0C51,Blue Agave heart,Agave tequilana W.,blue agave piña
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0NJN#F02.A0EJV,Poeciliopsis (generic) (as animal),Poeciliopsis spp.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live molluscs (as part-nature) (This nature refers to live molluscs)",part: Live molluscs (as part-nature),A11ST#F02.A0EJR,Lucina (generic) (as animal),Lucina spp.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live birds (as part-nature) (This nature refers to live birds)",part: Live birds (as part-nature),A188G#F02.A0EJX,Sandpipers and Snipes (as animal),Scolopacidae (family),
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0PHC#F02.A0EJV,Caesioscorpis (generic) (as animal),Caesioscorpis spp.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0GXA#F02.A0EJV,Smoothbelly pellonuline (as animal),Congothrissa gossei,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0Q1M#F02.A0EJV,Bullseye (as animal),Apogonichthyoides nigripinnis,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live plants (as part-nature) (The facet descriptor refers to the entire plant including all its parts)",part: Live plants (as part-nature),A14MF#F02.A0BA0,Fritillaria imperialis L. (as plant),Fritillaria imperialis L.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live molluscs (as part-nature) (This nature refers to live molluscs)",part: Live molluscs (as part-nature),A0B2A#F02.A0EJR,Wavy Scallop (as animal),Hyalopecten pudicus Smith E.A,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Stalks/canes for sugar (as part-nature) (Stalks of plants or canes mainly used for sugar production) | legis (This facet allows recording the food additives classes as reported in the legislation in order. Only one descriptor from this facet can be added to each entry.): FA-04.1 Unprocessed fruit and vegetables (Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008)) | legis (This facet allows recording the food additives classes as reported in the legislation in order. Only one descriptor from this facet can be added to each entry.): FA-11.2 Other sugars and syrups (Descriptor from the classification defined in the food additives legislation (Regulation (EC) No 1333/2008))",part: Stalks/canes for sugar (as part-nature) | legis: FA-04.1 Unprocessed fruit and vegetables | legis: FA-11.2 Other sugars and syrups,A0CXJ#F01.A0E1K$F02.A0ELH$F27.A0CXJ$F33.A0C51$F33.A0C30,Birches (trunk sap),Betula papyrifera Marshall,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fishes (as part-nature) (This nature refers to live fishes)",part: Live fishes (as part-nature),A0MKY#F02.A0EJV,Chilorhinus (generic) (as animal),Chilorhinus spp.,
"part (This facet describes the nature of the food item or the part of plant or animal it represents. The information brought by this facet is very often implicitly included in the food list groups. The descriptors are hierarchically structured in levels reflecting the natural relationship of terms. The list of descriptors is not designed to systematically include all possible parts or nature, but intends to cover all parts of plant or animal or the different nature types of food referred to in the food list.): Live fruit plants (as part-nature) (This nature refers to live fruit plants)",part: Live fruit plants (as part-nature),A060D#F02.A0EKF,Cowberry (as plant),Vaccinium vitis-idaea L. var. vitis-idaea,
