ENFOODNAME,ENFOODNAME_SIMPLE,FACETS,BASETERM_NAME,SCIENTIFIC_NAME,COMMON_NAME
LIVE CRUSTACEANS,Live crustaceans,A0AB1#F02.A0EJQ,Crystal shrimp (as animal),Penaeus brevirostris,Crevette cristal$Camarón cristal
Live Molluscs,Live molluscs,A10AT#F02.A0EJR,Crass turban (as animal),Turbo crassus,Turbo épais
Turtle with loggerhead with Reptile meat with Turtle with loggerhead,"Turtle, loggerhead, Reptile meat, Turtle, loggerhead",A02LH#F01.A04SZ$F02.A0EMJ$F27.A02LH,"Turtle, loggerhead",Caretta caretta,
Live molluscs,Live molluscs,A12VF#F02.A0EJR,Sea egg (as animal),Tripneustes ventricosus,
live birds,Live birds,A183J#F02.A0EJX,Collared Flycatcher (as animal),Ficedula albicollis,
Plants,"Plants, Fruits used as fruit, Fruit used as fruit, FA-04.1 Unprocessed fruit and vegetables",A04RK#F01.A058Y$F02.A0ELC$F27.A04RK$F33.A0C51,Fruit used as fruit,,Fresh fruit
live birds,Live birds,A180G#F02.A0EJX,Eurasian three-toed woodpecker (as animal),Picoides tridactylus,Three-toed Woodpecker
Feed-related,"Feed-related, Lambs reared for reproduction or meat production feed",A0BVA#F02.A0F0Y$F23.A18ET,Lambs (weaning diets) / Complementary feed (feed),,
live plants,Live plants,A17ER#F02.A0BA0,Beilschmiedia podagrica Kosterm. (as plant),Beilschmiedia podagrica Kosterm.,
LIVE FISHES,Live fishes,A08JP#F02.A0EJV,Yellowstriped goatfish (as animal),Upeneus vittatus,Yellow striped Goatfish
Live fishes,Live fishes,A0VJM#F02.A0EJV,Paralipophrys (generic) (as animal),Paralipophrys spp.,
Live fishes,Live fishes,A0PYY#F02.A0EJV,Apogon fleurieu (as animal),Apogon fleurieu,
"feed-related, young breeder/layer chick feed","Feed-related, Young breeder/layer chick feed",A16BE#F02.A0F0Y$F23.A18EK,Chicken reared for laying / Complete feed (feed),,
LIVE FISHES,Live fishes,A0NFP#F02.A0EJV,Tuxpan splitfin (as animal),Allodontichthys tamazulae,
live plants,Live plants,A14GB#F02.A0BA0,Ephedra equisetina Bunge (as plant),Ephedra equisetina Bunge,
Live plants,Live plants,A13SG#F02.A0BA0,Atropa belladonna L. (as plant),Atropa belladonna L.,
LIVE FISHES,Live fishes,A0QCL#F02.A0EJV,Star snapper (as animal),Lutjanus stellatus,Vivaneau étoilé$Pargo estrellado
LIVE BIRDS,Live birds,A17MG#F02.A0EJX,Common Tern (as animal),Sterna hirundo,
Live fishes,Live fishes,A0SEY#F02.A0EJV,Parascorpididae (as animal),Parascorpididae,
LIVE FISHES,Live fishes,A0PFV#F02.A0EJV,Centropomidae (as animal),Centropomidae,
Live Fishes,Live fishes,A0YCT#F02.A0EJV,Clown triggerfish (as animal),Balistoides conspicillum,
Preserved or partly preserved sausages,"Preserved or partly preserved sausages, Cooking and similar thermal preparation processes, Mincing / chopping / cutting, Seasoning, FA-08.3.2 Heat-treated meat products",A025Y#F02.A06AV$F28.A0BA1$F28.A07KY$F28.A0CRH$F33.A0C3H,Blood and tongue sausage,,
live birds,Live birds,A1AQL#F02.A0EJX,Yellow-billed Duck (as animal),Anas undulata,
Live Bulb Vegetables,Live bulb vegetables,A05BS#F02.A0EKJ,Garlic (as plant),Allium L.,
LIVE FISHES,Live fishes,A0QZN#F02.A0EJV,Eucinostomus (generic) (as animal),Eucinostomus spp.,
"FA-15.2 Processed nuts, Niger seeds, Niger, Oil seeds","Niger, Oil seeds, Niger seeds, FA-15.2 Processed nuts",A016F#F01.A05SJ$F02.A066S$F27.A016F$F33.A0C19,Niger seeds,Guizotia abyssinica (L.) Cass.$Guizotia oleifera DC.,
LIVE INSECTS AND ARACHNIDS,Live insects and arachnids,A19PL#F02.A0EJP,Culicoides oxystoma (as animal),Culicoides oxystoma,
Buttermilk that is Milk and Churning,"Buttermilk, Milk, Churning",A02MX#F02.A06BC$F27.A02LT$F28.A07MH,Traditional buttermilk (churning),,
Live fishes,Live fishes,A0SVT#F02.A0EJV,Krusensterniella maculata (as animal),Krusensterniella maculata,
live plants,Live plants,A136C#F02.A0BA0,Auriculariaceae - family (as organism),Auriculariaceae (family),
Live molluscs,Live molluscs,A10SC#F02.A0EJR,Adusta miter (as animal),Mitra eremitarum,Mitre brûlée
Live fishes,Live fishes,A0VSC#F02.A0EJV,Scorpaeniformes (as animal),SCORPAENIFORMES,
LIVE FUNGI,Live fungi,A05LQ#F02.A0EKB,Chanterelle mushroom (as organism),Cantharellus cibarius Fr.$Cantharellus spp.,
live fishes,Live fishes,A0VKH#F02.A0EJV,Townsend's fangblenny (as animal),Plagiotremus townsendi,
live molluscs,Live molluscs,A12XN#F02.A0EJR,Glyptocidaridae (as animal),Glyptocidaridae,
LIVE CRUSTACEANS,Live crustaceans,A0ZYC#F02.A0EJQ,Maracaibo swimcrab (as animal),Callinectes maracaiboensis,Crabe d'Alaine$Jaiba de Maracaibo
Ripened cheese with Soft with Milk with Ripening with Cheesemaking with FA-01.7.2 Ripened cheese,"Ripened cheese, Soft, Milk, Ripening, Cheesemaking, FA-01.7.2 Ripened cheese",A18AY#F02.A06BN$F10.A0CJQ$F27.A02LT$F28.A0C6F$F28.A0C6E$F33.A0C5F,"Cheese, brick",,
LIVE MOLLUSCS,Live molluscs,A10JS#F02.A0EJR,Eggwhite moon snail (as animal),Neverita albumen,Natice blanc d'oeuf
Horse that is Heart and Horse heart and FA-08.1 sassy meat and excluding meat preparations as defined by Regulation N0 853/2004,"Horse, Heart, Horse heart, FA-08.1 Fresh meat, excluding meat preparations as defined by Regulation N0 853/2004",A021N#F01.A0B9Z$F02.A06AC$F27.A021N$F33.A0C3M,Horse heart,,
"LIQUEURS, AROMATIC HERBS, UNSWEETENED SPIRITS, MIXING, FA-14.2.6 SPIRIT DRINKS AS limit IN REGULATION 2019/787","Liqueurs, Aromatic herbs, Unsweetened spirits, Mixing, FA-14.2.6 Spirit drinks as defined in Regulation 2019/787",A03NV#F02.A06FC$F04.A04MA$F04.A03PD$F28.A0CRL$F33.A0C1H,Herb liqueur,,
"Garden vegetables and primary derivatives thereof with Vegetable based dishes, Cooking and similar thermal preparation processes, Pulping / mashing","Vegetable based dishes, Garden vegetables and primary derivatives thereof, Cooking and similar thermal preparation processes, Pulping / mashing",A03XY#F02.A06GK$F04.A07XJ$F28.A0BA1$F28.A0C6N,Creamed vegetable mix,,
Live fishes,Live fishes,A0LFP#F02.A0EJV,Pareuchiloglanis (generic) (as animal),Pareuchiloglanis spp.,
FOOD FLAVOURS,Food flavours,A06VM#F02.A06CD,Toffee flavour,,
Live Fishes,Live fishes,A0HTQ#F02.A0EJV,Tripodfish (as animal),Bathypterois grallator,
"Preserved or partly preserved sausages, mincing / chopping / cutting, seasoning, fa-08.3.2 heat-treated meat products","Preserved or partly preserved sausages, Mincing / chopping / cutting, Seasoning, FA-08.3.2 Heat-treated meat products",A0EYP#F02.A06AV$F28.A07KY$F28.A0CRH$F33.A0C3H,Preserved or partly preserved sausages,,
LIVE BIRDS,Live birds,A1AGE#F02.A0EJX,White-winged Grosbeak (as animal),Mycerobas carnipes,
Asiatic pennywort that is Aromatic herbs and Asiatic pennywort and FA-04.1 Unprocessed fruit and vegetables,"Asiatic pennywort, Aromatic herbs, Asiatic pennywort, FA-04.1 Unprocessed fruit and vegetables",A0DGS#F01.A0E2F$F02.A0F0C$F27.A0DGS$F33.A0C51,Asiatic pennywort,Centella asiatica (L.) Urb.,
"Feed-related with Cornflower, Animal feed, Cornflower seed","Cornflower, Feed-related, Animal feed, Cornflower seed",A0BK7#F01.A0E2D$F02.A0F0Y$F23.A07TV$F27.A0BK7,Cornflower seed (feed),,
LIVE FISHES,Live fishes,A0V1P#F02.A0EJV,Magnificent rabbitfish (as animal),Siganus magnificus,
Fish with Fish meat with Miscellaneous freshwater fishes with FA-09.1.1 Unprocessed fish,"Fish, Fish meat, Miscellaneous freshwater fishes, FA-09.1.1 Unprocessed fish",A04RN#F01.A0BXL$F02.A0EMD$F27.A04RN$F33.A0C39,Miscellaneous freshwater fishes,,
live birds,Live birds,A17RA#F02.A0EJX,White-headed Vulture (as animal),Trigonoceps occipitalis,
food flavours,Food flavours,A06KJ#F02.A06CD,Bacon flavour,,
Live fishes,Live fishes,A0TJQ#F02.A0EJV,Gladiator goby (as animal),Gladiogobius ensifer,
Live plants,Live plants,A141D#F02.A0BA0,Cerasus vulgaris Miller (as plant),Cerasus vulgaris Miller,
LIVE PLANTS,Live plants,A191B#F02.A0BA0,Cotoneaster adpressus Bois (as plant),Cotoneaster adpressus Bois,
Pome fruit,"Pome fruit, Fruits used as fruit, Quinces and similar-, FA-04.1 Unprocessed fruit and vegetables",A0DXC#F01.A05YF$F02.A0ELC$F27.A0DXC$F33.A0C51,Quinces and similar-,,
Live plants,Live plants,A14PC#F02.A0BA0,Gomphrena globosa L. (as plant),Gomphrena globosa L.,
"Roots and other underground parts used as vegetables with Dandelion, Dandelion roots, FA-04.1 Unprocessed fruit and vegetables","Dandelion, Roots and other underground parts used as vegetables, Dandelion roots, FA-04.1 Unprocessed fruit and vegetables",A0DNX#F01.A05FF$F02.A0ERX$F27.A0DNX$F33.A0C51,Dandelion roots,Taraxacum sect. Ruderelia$Taraxacum campylodes G.E.Haglund.$Taraxacum officinale (L.) Weber ex F.H.Wigg.,
Live Molluscs,Live molluscs,A129H#F02.A0EJR,Callistoctopus arakawai (as animal),Callistoctopus arakawai,
Live Plants,Live plants,A17AM#F02.A0BA0,Gypsophila paniculata L. (as plant),Gypsophila paniculata L.,
LIVE FISHES,Live fishes,A095D#F02.A0EJV,Japanese grenadier anchovy (as animal),Coilia nasus,
Ripened cheese and Hard and Milk and Ripening and Cheesemaking and FA-01.7.2 Ripened cheese,"Ripened cheese, Hard, Milk, Ripening, Cheesemaking, FA-01.7.2 Ripened cheese",A02XT#F02.A06BN$F10.A0CJP$F27.A02LT$F28.A0C6F$F28.A0C6E$F33.A0C5F,"Cheese, torta del casar",,
live birds,Live birds,A1A2T#F02.A0EJX,Long-tailed Minivet (as animal),Pericrocotus ethologus,
Live fishes,Live fishes,A0PSK#F02.A0EJV,Pelates (generic) (as animal),Pelates spp.,
LIVE FISHES,Live fishes,A0RBF#F02.A0EJV,Guayas cichlid (as animal),Cichlasoma festae,
LIVE FISHES,Live fishes,A0S7S#F02.A0EJV,Nicholsina (generic) (as animal),Nicholsina spp.,
live plants,Live plants,A17LA#F02.A0BA0,Smilax cordato-ovata Rich. (as plant),Smilax cordato-ovata Rich.,
Cherry tomato Fruits used as vegetables Cherry tomatoes FA 04 1 Unprocessed fruit and vegetables,"Cherry tomato, Fruits used as vegetables, Cherry tomatoes, FA-04.1 Unprocessed fruit and vegetables",A00HY#F01.A05CK$F02.A0ELE$F27.A00HY$F33.A0C51,Cherry tomatoes,Solanum lycopersicum$Lycopersicon esculentum var. cerasiforme (Dunal) A. Gray,
Vegetable based dishes Garden vegetables and primary derivatives thereof Frying,"Vegetable based dishes, Garden vegetables and primary derivatives thereof, Frying",A03YC#F02.A06GK$F04.A07XJ$F28.A07GR,"Mixed vegetables, fried",,
Live fishes,Live fishes,A0G3D#F02.A0EJV,Whiteleg skate (as animal),Raja taaf,
live fishes,Live fishes,A0YLZ#F02.A0EJV,Halicmetus reticulatus (as animal),Halicmetus reticulatus,
Feed-related with Animal feed,"Feed-related, Animal feed",A0BP4#F02.A0F0Y$F23.A07TV,Minerals and products derived thereof (feed),,
Live fishes,Live fishes,A0FYT#F02.A0EJV,Bareskin dogfish (as animal),Centroscyllium kamoharai,Aiguillat lisse$Tollo negro liso
LIVE BIRDS,Live birds,A1AJT#F02.A0EJX,Pallas's Sandgrouse (as animal),Syrrhaptes paradoxus,
"Edible crab, crustaceans meat, edible crab, fa-09.1.2 unprocessed molluscs and crustaceans","Edible crab, Crustaceans meat, Edible crab, FA-09.1.2 Unprocessed molluscs and crustaceans",A0FCP#F01.A0A48$F02.A0EMF$F27.A0FCP$F33.A0C38,Edible crab,Cancer pagurus,
Live Fishes,Live fishes,A0RVS#F02.A0EJV,Immaculate damsel (as animal),Mecaenichthys immaculatus,
LIVE BIRDS,Live birds,A187S#F02.A0EJX,Pelecaniformes (as animal),Pelecaniformes (order),
"Atlantic Halibut, Fish Meat, Halibut, Atlantic, Fa-09.1.1 Unprocessed Fish","Atlantic halibut, Fish meat, Halibut, atlantic, FA-09.1.1 Unprocessed fish",A02AZ#F01.A04ZN$F02.A0EMD$F27.A02AZ$F33.A0C39,"Halibut, atlantic",Hippoglossus hippoglossus,Atlantic halibut
LIVE FISHES,Live fishes,A0JPD#F02.A0EJV,Microsternarchus bilineatus (as animal),Microsternarchus bilineatus,
live mammals,Live mammals,A0CNN#F02.A0EJN,American Mink (as animal),Neovison vison,
Live birds,Live birds,A17MA#F02.A0EJX,Pied Avocet (as animal),Recurvirostra avosetta,Avocet
Live fishes,Live fishes,A0RLC#F02.A0EJV,Banded jewelfish (as animal),Hemichromis fasciatus,Hémichromis rayé
LIVE MOLLUSCS,Live molluscs,A130G#F02.A0EJR,Heterocucumis godeffroyi (as animal),Heterocucumis godeffroyi,
Live fishes,Live fishes,A0PAE#F02.A0EJV,Red rainbowfish (as animal),Glossolepis incisus,
live birds,Live birds,A1APG#F02.A0EJX,Australian King Parrot (as animal),Alisterus scapularis,
Live fishes,Live fishes,A0L5B#F02.A0EJV,Taunayia (generic) (as animal),Taunayia spp.,
"Mechanically separated meat with Pig, Pig msm, FA-08.1 Fresh meat, excluding meat preparations as defined by Regulation N0 853/2004","Pig, Mechanically separated meat, Pig msm, FA-08.1 Fresh meat, excluding meat preparations as defined by Regulation N0 853/2004",A04AD#F01.A057F$F02.A069K$F27.A04AD$F33.A0C3M,Pig msm,,swine MSM
Live Fishes,Live fishes,A08KP#F02.A0EJV,"Gulf butterfishes, etc. (generic) (as animal)",Peprilus spp.,"Gulf butterfishes, etc. nei$Stromatés du Golfe, etc. nca$Pámpanos del Golfo, etc. nep$Gulf butterfish"
LIVE PLANTS,Live plants,A144N#F02.A0BA0,Clinopodium menthifolium (Host) Stace (as plant),Clinopodium menthifolium (Host) Stace$Calamintha menthifolia Host.,
LIVE FISHES,Live fishes,A0X2F#F02.A0EJV,Blackfin stonefish (as animal),Pseudosynanceia melanostigma,
LIVE MAMMALS,Live mammals,A16CP#F02.A0EJN,Dolphins (as animal),Cetacea infraorder (only part)$Delphinidae(family)$Iniidae(family)$Platanistidae(family)$Pontoporiidae(family),
Live Molluscs,Live molluscs,A0AQ0#F02.A0EJR,Half-striated donax (as animal),Donax semistriatus,Flion semistrié$Tellerina
Live fishes,Live fishes,A0LEJ#F02.A0EJV,Akysidae (as animal),Akysidae,
Live Fishes,Live fishes,A0Q8C#F02.A0EJV,Permit (as animal),Trachinotus falcatus,Pompaneau plume$Pámpano palometa
Roots and tuber vegetables  Roots and other underground parts used as staple food  Arrowroots and similar   FA 04 1 Unprocessed fruit and vegetables,"Roots and tuber vegetables, Roots and other underground parts used as staple food, Arrowroots and similar-, FA-04.1 Unprocessed fruit and vegetables",A0DPE#F01.A0BXQ$F02.A0F5F$F27.A0DPE$F33.A0C51,Arrowroots and similar-,,
LIVE FISHES,Live fishes,A0HZY#F02.A0EJV,Lampadena urophaos (as animal),Lampadena urophaos,
Live fishes,Live fishes,A0HFZ#F02.A0EJV,Bathophilus (generic) (as animal),Bathophilus spp.,
Live fishes,Live fishes,A0H9S#F02.A0EJV,Teardrop tubeshoulder (as animal),Holtbyrnia innesi,
"Turnip rape, Roots and other underground parts used as vegetables, Turnips, FA-04.1 Unprocessed fruit and vegetables","Turnip rape, Roots and other underground parts used as vegetables, Turnips, FA-04.1 Unprocessed fruit and vegetables",A00RE#F01.A05FC$F02.A0ERX$F27.A00RE$F33.A0C51,Turnips,Brassica rapa subsp. rapa L.,
Live plants,Live plants,A15TL#F02.A0BA0,Stictocardia tiliifolia (Desr.) Hallier f. (as plant),Stictocardia tiliifolia (Desr.) Hallier f.,
Live molluscs,Live molluscs,A11LM#F02.A0EJR,Gould's razor shell (as animal),Solen strictus,
Live Fishes,Live fishes,A0LKA#F02.A0EJV,Dolichallabes microphthalmus (as animal),Dolichallabes microphthalmus,
live molluscs,Live molluscs,A11TT#F02.A0EJR,Noetiidae (as animal),Noetiidae,
live insects and arachnids,Live insects and arachnids,A19QV#F02.A0EJP,Culicoides semimaculatus (as animal),Culicoides semimaculatus,
Live fishes,Live fishes,A0LMN#F02.A0EJV,Goslinia (generic) (as animal),Goslinia spp.,
Live molluscs,Live molluscs,A0B89#F02.A0EJR,Lesser flying squid (as animal),Todaropsis eblanae,Toutenon souffleur$Pota costera$Lesser flying Squid
Helmeted Guineafowl,"Helmeted Guineafowl, Mammals and birds meat, Guinea-fowl fresh meat, FA-08.1 Fresh meat, excluding meat preparations as defined by Regulation N0 853/2004",A01SX#F01.A058E$F02.A0BYZ$F27.A01SX$F33.A0C3M,Guinea-fowl fresh meat,Numida meleagris,
live fishes,Live fishes,A0YFA#F02.A0EJV,Orange clingfish (as animal),Diplocrepis puniceus,
live fruit plants,Live fruit plants,A05ZD#F02.A0EKF,Loganberry (as plant),Rubus loganobaccus L.H. Bailey,
Live plants,Live plants,A13CL#F02.A0BA0,Primulaceae - family (as plant),Primulaceae (family),
live fishes,Live fishes,A0V2N#F02.A0EJV,Acanthocybium (generic) (as animal),Acanthocybium spp.,
Live fishes,Live fishes,A0QTL#F02.A0EJV,False red stumpnose (as animal),Chrysoblephus lophus,Spare à front rayé$Sargo ñato
LIVE CRUSTACEANS,Live crustaceans,A0ZEL#F02.A0EJQ,Astacus (generic) (as animal),Astacus spp.,
Bulb vegetables that is Bulb / clove and Onions and similar- and FA-04.1 Unprocessed fruit and vegetables,"Bulb vegetables, Bulb / clove, Onions and similar-, FA-04.1 Unprocessed fruit and vegetables",A00HB#F01.A05BR$F02.A067A$F27.A00HB$F33.A0C51,Onions and similar-,,
Live Molluscs,Live molluscs,A110X#F02.A0EJR,Architectonicidae (as animal),Architectonicidae,
live leafy vegetables,Live leafy vegetables,A0E2G#F02.A0EKL,Bitterblad (as plant),Cestrum latifolium Lam.,
LIVE MAMMALS,Live mammals,A16EH#F02.A0EJN,Wolf (as animal),Canis lupus,Gray wolf
live fishes,Live fishes,A0NGL#F02.A0EJV,Polka-dot splitfin (as animal),Chapalichthys pardalis,
LIVE FISHES,Live fishes,A0Y8S#F02.A0EJV,Bathyphylax bombifrons (as animal),Bathyphylax bombifrons,
live birds,Live birds,A19TX#F02.A0EJX,Himalayan Snowcock (as animal),Tetraogallus himalayensis,
Animals,"Animals, Mammals and birds meat, Mammals and birds meat, FA-08.1 Fresh meat, excluding meat preparations as defined by Regulation N0 853/2004",A0EYH#F01.A04SF$F02.A0BYZ$F27.A0EYH$F33.A0C3M,Mammals and birds meat,,
Live fishes,Live fishes,A0RVP#F02.A0EJV,Hemiglyphidodon (generic) (as animal),Hemiglyphidodon spp.,
LIVE FISHES,Live fishes,A0MYQ#F02.A0EJV,Coryphaenoides lecointei (as animal),Coryphaenoides lecointei,
Live molluscs,Live molluscs,A126M#F02.A0EJR,Carol bobtail squid (as animal),Neorossia caroli,Sépiole de Carol$Globito de Carol
live molluscs,Live molluscs,A124K#F02.A0EJR,Voss’ cuttlefish (as animal),Sepia vossi,Seiche de Voss$Sepia de Voss
LIVE FISHES,Live fishes,A0T1N#F02.A0EJV,Squaretail duckbill (as animal),Bembrops heterurus,Platête commun$Pez palo comun
LIVE FISHES,Live fishes,A0GGZ#F02.A0EJV,Black-spotted torpedo (as animal),Torpedo fuscomaculata,Raie trembleur
Live fishes,Live fishes,A0HMK#F02.A0EJV,Elephantnose fish (as animal),Gnathonemus petersii,
Live fishes,Live fishes,A0NVZ#F02.A0EJV,Dinematichthys dasyrhynchus (as animal),Dinematichthys dasyrhynchus,
LIVE FISHES,Live fishes,A0S0V#F02.A0EJV,Decodon (generic) (as animal),Decodon spp.,
live fishes,Live fishes,A0Q8P#F02.A0EJV,Leatherjackets (generic) (as animal),Oligoplites spp.,Leatherjackets nei
LIVE INSECTS AND ARACHNIDS,Live insects and arachnids,A198Z#F02.A0EJP,Aedes vexans vexans (as animal),Aedes vexans vexans,
live molluscs,Live molluscs,A11FA#F02.A0EJR,Cyclina (generic) (as animal),Cyclina spp.,
live fishes,Live fishes,A0TXP#F02.A0EJV,Wormfishes (generic) (as animal),Microdesmidae,Wormfishes nei$Poissons flechettes nca$Peces-lombriz nep
Live fishes,Live fishes,A0G3T#F02.A0EJV,Raja annandalei (as animal),Raja annandalei,
Live fishes,Live fishes,A08PH#F02.A0EJV,Rough pomfret (as animal),Taractes asper,
LIVE BIRDS,Live birds,A1AAX#F02.A0EJX,Paradise Flycatcher (as animal),Terpsiphone viridis,African Paradise-Flycatcher$African Paradise Flycatcher
live fishes,Live fishes,A0LKA#F02.A0EJV,Dolichallabes microphthalmus (as animal),Dolichallabes microphthalmus,
LIVE MOLLUSCS,Live molluscs,A10NC#F02.A0EJR,Costate tun (as animal),Tonna allium,Tonne côtelée
LIVE FISHES,Live fishes,A0KQC#F02.A0EJV,Percocypris pingi (as animal),Percocypris pingi,
Live fishes,Live fishes,A0VFK#F02.A0EJV,Coryphoblennius (generic) (as animal),Coryphoblennius spp.,
LIVE FISHES,Live fishes,A0KPZ#F02.A0EJV,Coreius (generic) (as animal),Coreius spp.,
live molluscs,Live molluscs,A119M#F02.A0EJR,Zygochlamys (generic) (as animal),Zygochlamys spp.,
Live worm And Arachnids,Live insects and arachnids,A196P#F02.A0EJP,Anopheles plumbeus (as animal),Anopheles plumbeus$Anopheles corsicanus$Anopheles intermedius$Anopheles nigripes,Nuisance mosquito
Live Fishes,Live fishes,A0XKA#F02.A0EJV,Dactylopterus (generic) (as animal),Dactylopterus spp.,
live plants,Live plants,A191E#F02.A0BA0,Cotoneaster discolor Pojark. (as plant),Cotoneaster discolor Pojark.,
LIVE BIRDS,Live birds,A17SB#F02.A0EJX,Parus (as animal),Parus sp.,
Live Plants,Live plants,A136Q#F02.A0BA0,Buxaceae - family (as plant),Buxaceae (family),
Live fishes,Live fishes,A0V3G#F02.A0EJV,Diplospinus (generic) (as animal),Diplospinus spp.,
Live Fishes,Live fishes,A0Q9C#F02.A0EJV,Atropus (generic) (as animal),Atropus spp.,
Live fishes,Live fishes,A0TPE#F02.A0EJV,Padogobius (generic) (as animal),Padogobius spp.,
Live crustaceans,Live crustaceans,A0ZET#F02.A0EJQ,Ribbon crayfish (as animal),Procambarus bivitattus,
Live fishes,Live fishes,A0KSL#F02.A0EJV,Balitora annamitica (as animal),Balitora annamitica,
BREAD,Bread,A0DRD#F02.A06CM,Bread,,
LIVE FISHES,Live fishes,A0KKB#F02.A0EJV,Procypris merus (as animal),Procypris merus,
live fishes,Live fishes,A0KSQ#F02.A0EJV,Bhavania (generic) (as animal),Bhavania spp.,
Live Fishes,Live fishes,A0JLJ#F02.A0EJV,Hemistichodus (generic) (as animal),Hemistichodus spp.,
LIVE INSECTS AND ARACHNIDS,Live insects and arachnids,A16VY#F02.A0EJP,Trichoptera (as animal),Trichoptera (order),Caddisflies
Banana AB hybrid cultivars  Stems stalks eaten as vegetables  Banana flowers   paradisiaca cultivars  FA 04 1 Unprocessed fruit and vegetables,"Banana AB hybrid cultivars, Stems/stalks eaten as vegetables, Banana flowers - paradisiaca cultivars, FA-04.1 Unprocessed fruit and vegetables",A0DEJ#F01.A064N$F02.A0ELG$F27.A0DEJ$F33.A0C51,Banana flowers - paradisiaca cultivars,hybrids Musa acuminata x Musa balbisiana,
Live fishes,Live fishes,A0P2G#F02.A0EJV,Kryptophanaron (generic) (as animal),Kryptophanaron spp.,
LIVE BIRDS,Live birds,A17NL#F02.A0EJX,Common Redshank (as animal),Tringa totanus,Redshank
